"name","canonical_url","status","status_as_of","hq_country","operating_regions","founding_year","cohort_or_ecosystem","primary_lifecycle","secondary_lifecycle","category","entity_type","business_model","maturity","evidence_grade","jcx_relevance","relevance_tier","headline_claim","claim_type","caveats","source_urls","last_verified"
"Blackstone","https://www.blackstone.com/","active","2026-08-30","United States","Global","1985","Independent","L/F/O/E","L/D/C/O/E","global real-assets owner-manager and digital-infrastructure investor","owner/manager and investment platform","capital allocation plus operating platforms and strategic investments","scale platform","A","Capital and data-centre power/land strategy changes JCX’s infrastructure and owner-operator thesis; QTS/AirTrunk are the operating comparators","1","Official AI strategy describes QTS and AirTrunk data-centre platforms; 2026 10-K available","company-reported strategy and scale","Data-centre/AUM/pipeline claims are attributed; distinguish Blackstone corporate strategy from portfolio-company operations","https://www.blackstone.com/investing-in-ai/|https://www.blackstone.com/insights/article/behind-the-deal-airtrunk/|https://ir.blackstone.com/sec-filings/sec-filings-details/default.aspx?FilingId=19199346","2026-08-30"
"Lennar","https://www.lennar.com/","active","2026-08-30","United States","North America","1954","Independent; LENX; Veev by Lennar relationship","L/D/C/S/F/H/O","L/F/E","high-volume homebuilder, mortgage/title and innovation platform","developer and captive-finance operator","homebuilding plus financial services, digital lead-to-close and LENX strategic investments","scale operator","A","Parent record is required to interpret existing Veev by Lennar and compare land-light, digital funnel and startup deployment","1","83K 2025 deliveries; annual report names the Lennar machine and LENX","company-reported scale and strategy","Separate Lennar, LENX and integrated Veev; technology investment gains are not operating ROI","https://investors.lennar.com/|https://investors.lennar.com/~/media/Files/L/Lennar-IR-V3/documents/annual-reports/annual-report-2025.pdf|https://investors.lennar.com/press-releases/2026/03-30-2026","2026-08-30"
"D.R. Horton","https://investor.drhorton.com/","active","2026-08-30","United States","North America","1978","Independent","L/D/C/S/F/H","O","high-volume homebuilder and captive-finance operator","developer and production homebuilder","standardized production, digital marketing, mortgage/title and warranty","scale operator","A","Adds the largest-volume production benchmark and first-time-buyer funnel for JCX residential repeatability","1","FY2025 annual report states nearly 85K homes and digital marketing channels","company-reported scale and operating description","Do not infer advanced AI from generic technology language; homes delivered are not technology outcomes","https://investor.drhorton.com/financial-information/financial-reports/annual-reports|https://investor.drhorton.com/~/media/Files/D/D-R-Horton-IR/documents/quarterly-reports/2025-dhi-annual-report.pdf","2026-08-30"
"PulteGroup","https://www.pultegroup.com/","active","2026-08-30","United States","North America","1950","Independent","D/C/S/F/H/O","O/E","high-volume homebuilder, active-adult and financial-services operator","developer and production homebuilder","standardized construction, customer segmentation, mortgage/title and warranty","scale operator","B","Completes the high-volume builder cohort and exposes customer-segment and warranty differences","2","FY2025 SEC annual report is current; technology evidence is strategy-level","official filing; observed strategy","Public technology evidence is thinner than Lennar; keep contextual until named deployments and outcomes are extracted","https://www.sec.gov/Archives/edgar/data/0000822416/000082241626000018/pultegroupinc2025_ars.pdf|https://investor.pulte.com/","2026-08-30"
"Digital Realty","https://www.digitalrealty.com/","active","2026-08-30","United States","Global Americas EMEA APAC","2001","Independent","L/D/C/O/E","F","global data-centre owner/operator and interconnection platform","REIT and infrastructure operator","colocation, connectivity, data sovereignty, AI capacity and sustainable facilities","scale platform","A","Creates a concrete neutral-colocation and digital-infrastructure benchmark adjacent to Related Digital and Keppel","1","2025 10-K reports 300+ facilities, 55+ metros, 30+ countries, ~2.9GW in-place IT capacity and ~770MW under construction","official filing and company product description","Capacity, uptime and sustainability claims are company-reported; separate owned operations from customer workloads","https://investor.digitalrealty.com/financials/annual-reports|https://www.sec.gov/Archives/edgar/data/1297996/000110465926015365/dlr-20251231x10k.htm|https://www.digitalrealty.com/platform-digital","2026-08-30"
"Equinix","https://www.equinix.com/","active","2026-08-30","United States","Global Americas EMEA APAC","1998","Independent","L/D/C/O/E","F","global data-centre, colocation and interconnection operator","REIT-like infrastructure operator and network ecosystem","xScale, interconnection, metro footprints, digital sovereignty and uptime","scale platform","A","Adds the network/ecosystem layer between physical real estate and cloud; relevant to JCX data and service architecture","1","2025 10-K reports 280 facilities, 77 markets, 36 countries, 10,500+ customers and 99.9999%+ uptime","official filing and company platform description","Operational uptime and customer counts are company-reported; interconnection is not a property-management SaaS proxy","https://investor.equinix.com/about-equinix/annual-reports-proxy|https://investor.equinix.com/sec-filings/all-sec-filings/content/0001101239-26-000032/eqix-20251231.htm","2026-08-30"
"SEGRO","https://www.segro.com/","active","2026-08-30","United Kingdom","Europe","1920","Independent","L/D/C/O/E","F","European logistics, industrial and data-centre owner/developer","REIT and development/operator platform","powered land, planning, logistics and data-centre development","scale platform","A","Makes grid access, entitlement, pre-let sequencing and powered-shell versus fitted data centres decision-visible","1","2025 report describes a 2.5GW+ data-centre pipeline and pan-European logistics portfolio","official annual report and operating strategy","Pipeline is not delivered capacity; distinguish powered shell from fully fitted facilities","https://www.segro.com/en/investors/ara25/strategic-report|https://www.segro.com/media/kbshtxbq/segro_annual-report-accounts-2025.pdf|https://www.segro.com/investors/financial-results-centre/2025-full-year-results","2026-08-30"
"ESR Group","https://www.esr.com/","private","2026-08-30","Singapore","Asia-Pacific including India Japan Korea Greater China Southeast Asia ANZ","2011","Independent; private since 2025-07-04","L/D/C/O/E","F","APAC logistics, data-centre and infrastructure real-asset owner/manager","integrated development and fund-management platform","new-economy logistics, hyperscale data centres, infrastructure and decarbonization","scale platform","A","Fills the APAC new-economy operating gap across markets that matter to JCX and adds a privatization/governance case","1","Current IR page reports US$77.3B total AUM at 31 Dec 2025; official release documents privatization and data-centre pipeline","official company reporting","Status is private after delisting; AUM and pipeline are company-reported; avoid stale listed-company assumptions","https://www.esr.com/investor-relations/|https://www.esr.com/news/esr-completes-privatisation-strengthens-leadership-team/|https://www.esr.com/news/esr-group-reports-fy2024-results-demonstrates-business-resilience-as-its-clear-core-focus-on-logistics-real-estate-data-centres-and-infrastructure-drives-next-phase-of-growth/","2026-08-30"
"Vonovia","https://www.vonovia.com/en/","active","2026-08-30","Germany","Europe","2001","Independent","L/S/H/O/E","F","European residential owner/operator and services platform","listed residential landlord and operator","mass-rental operations, refurbishment, smart energy, automation and tenant service","scale operator","B","Adds the missing European mass-rental operating model and a portfolio-scale energy/refurbishment benchmark","2","2025 annual report explicitly identifies digitalization, automation, AI and smart energy as strategic opportunities","official annual report; observed strategy","Named products and causal outcomes require deeper report extraction; do not score generic AI language","https://www.vonovia.com/en/investors/news-and-publications/results-presentations|https://www.vonovia.com/en/content/download/310373/file/Vonovia_SE_Annual_Report_2025.pdf","2026-08-30"
"Link REIT","https://www.linkreit.com/en/","active","2026-08-30","Hong Kong","Hong Kong Mainland China Australia Singapore United Kingdom","2005","Independent; internally managed","L/S/H/O/E","F","APAC internally managed REIT and community operator","REIT and asset-management platform","retail, office, logistics, community services, sustainability and data transparency","scale operator","B","Shows a large owner/operator using portfolio data and community operations, counterbalancing developer-led platform cases","2","Official IR calls Link the largest REIT in Asia by asset value and publishes 2025/26 operating and sustainability data","official IR and sustainability reporting","Technology outcomes need deeper extraction; do not equate ESG disclosure with PropTech ROI","https://www.linkreit.com/en/investor-relations/|https://www.linkreit.com/en/investor-relations/financial-reports/|https://www.linkreit.com/en/sustainability/","2026-08-30"
"Growthpoint Properties","https://growthpoint.co.za/","active","2026-08-30","South Africa","Africa South Africa Australia Europe","1987","Independent","L/S/H/O/E","F","African diversified REIT and asset manager","REIT, owner/operator and funds manager","retail, office, logistics, healthcare, student, mixed-use, smart meters and predictive maintenance","scale operator","B","Corrects the Africa portal bias with a real owner/operator and concrete smart-building utility/maintenance examples","2","FY2025 reporting describes 475 properties and smart meters, leak detection, remote monitoring and predictive maintenance","official annual/ESG reporting","Portfolio and operational claims are company-reported; separate SA group from Growthpoint Australia","https://growthpoint.co.za/wp-content/uploads/2025/10/2025-Environmental-Social-and-Governance-Report.pdf|https://growthpoint.co.za/pressoffice/growth-trajectory|https://sharedata.co.za/v2/Scripts/Glossies.aspx?c=GRT","2026-08-30"
"Majid Al Futtaim","https://www.majidalfuttaim.com/","active","2026-08-30","United Arab Emirates","MENA Africa Central Asia","1992","Independent; MAF Properties and MAF Technology relationships","L/S/H/O/E/F","F","MENA integrated developer, mall/hotel/entertainment owner and digital ecosystem","integrated owner/operator and digital-retail platform","development, asset management, retail, loyalty, quick commerce, AI-enabled media and entertainment","scale platform","A","Connects real estate with customer data, loyalty, quick commerce and AI-enabled media; stronger MENA operator comparator than another generic masterplan","1","2025 accounts identify MAF Properties and MAF Technology; 2025 release describes AI-enabled Precision Media and Carrefour Now","official accounts and company release","Separate group, Properties and digital-retail scope; digital growth is not property-tech ROI","https://www.majidalfuttaim.com/en/investor-relations/financial-summary|https://www.majidalfuttaim.com/docs/default-source/reports/majid-alfuttaim-holding-consolidated-fs-2025.pdf?sfvrsn=aa95b9a_3|https://www.majidalfuttaim.com/en/media-centre/press-releases/detail/2025/09/strategic-investments--digital-scale-drive-majid-al-futtaims-solid-h1-2025-results","2026-08-30"
"Qiddiya Investment Company","https://qiddiya.com/","active","2026-08-30","Saudi Arabia","Saudi Arabia MENA","2017","PIF portfolio company","L/D/C/H/O/E","E","Saudi giga-project and destination developer/operator","master developer and destination platform","intelligent command centre, real-time insights, automation, destination sustainability","development-stage platform","B","Makes destination-scale operating intelligence concrete through the Intelligent Command Centre","2","Official sustainability page plus Saudi Press Agency report documents ICC launch in Nov 2025","official company and government report","Most city-scale claims remain development-stage; do not score renderings or targets as delivered outcomes","https://qiddiya.com/about/sustainability/|https://qiddiya.com/en/|https://spa.gov.sa/en/N2440931","2026-08-30"
"Red Sea Global","https://www.redseaglobal.com/","active","2026-08-30","Saudi Arabia","Saudi Arabia MENA Global hospitality","2017","PIF portfolio company","L/D/C/H/O/E","E","Saudi sustainable destination developer/operator","destination developer and hospitality operator","renewable energy, water cycle, 5G, EV charging, biodiversity data and resort operations","development-stage platform","B","Adds a whole-destination climate and hospitality operating model with measurable infrastructure programmes","2","Official responsible-development pages report 100% renewable energy across destinations, solar panels and biodiversity data platforms","official company sustainability reporting","Targets and programme metrics require attribution; 100% renewable claim is destination scope, not universal corporate performance","https://www.redseaglobal.com/en/responsible-development/|https://www.redseaglobal.com/en/responsible-development/planet/|https://webserver-redseaportal-prd.lfr.cloud/en/web/guest/responsible-development","2026-08-30"
"Marriott International","https://www.marriott.com/","active","2026-08-30","United States","Global","1927","Independent","D/C/H/O/F","F","global hospitality platform and owner-facing operator","asset-light hotel brand, reservation and loyalty platform","property management, reservations, loyalty, digital guest/owner systems and AI enablement","scale platform","A","Adds the missing hospitality operating-system benchmark and explicit technology-transformation evidence","1","2025 annual report describes transformation of property-management, reservations and loyalty systems; 700+ properties and ~100K rooms added in 2025","official annual report and SEC filing","Asset-light system scale is not property ownership; technology transformation is company-reported","https://marriott.gcs-web.com/annual|https://marriott.gcs-web.com/static-files/b82978a6-9d28-4e38-9855-fc4ae2cebe11|https://www.sec.gov/Archives/edgar/data/1048286/000104828626000007/mar-20251231.htm","2026-08-30"
"Hilton","https://www.hilton.com/","active","2026-08-30","United States","Global","1919","Independent","S/H/O/F","F","global hospitality platform and operator/franchisor","asset-light hotel brand, reservation and loyalty platform","digital key, virtual-card B2B payments, reservation systems, loyalty and owner platform","scale platform","A","Adds a current guest/owner technology benchmark with explicit digital-platform and payment workflow evidence","1","2025 10-K reports 9,158 properties/1.35m rooms and 243m Honors members; year-in-review documents platform modernization and virtual-card payments","official annual report and SEC filing","Guest/member scale is not property-tech ROI; separate franchise platform from owned assets","https://ir.hilton.com/financial-reporting/annual-reports|https://stories.hilton.com/2025-annual-report|https://www.sec.gov/Archives/edgar/data/1585689/000158568926000025/a2025annualreportprint.pdf","2026-08-30"
"Accor","https://group.accor.com/en/","active","2026-08-30","France","Global Europe MENA Asia-Pacific","1967","Independent","D/S/H/O/E/F","F","global multi-segment hospitality platform","asset-light hotel, residence, rental, workspace and experience platform","digital guest interaction, loyalty, hospitality operations and sustainability reporting","scale platform","B","Completes the Europe/MENA/global hospitality comparison across hotels, residences, rentals, workspaces and experiences","2","2025 Universal Registration Document filed March 2026; 57% of hotels eco-certified at end-2025","official universal registration document","Named digital initiatives require deeper extraction; eco-certification is not technology ROI","https://group.accor.com/en/documents-publications|https://group.accor.com/en/finance/esg-reporting-ratings|https://assets.group.accor.com/yrj0orc8tx24/dwdklcBVai21ztMLgb3A5/e53a5c4937c07351b855819fd097b8a6/ACCOR_DEU2025_MEL_US_270326.pdf","2026-08-30"
