"name","canonical_url","status","hq_country","operating_regions","entity_type","scale_signal","primary_lifecycle","tech_strategy","innovation_model","named_initiatives","quantified_outcome","claim_type","evidence_grade","jcx_relevance","relevance_tier","caveats","source_urls","last_verified"
"JLL","https://www.jll.com/","active","United States","Global","services brokerage facilities technology venture","2025 revenue $26.1bn; PropTech investments fair value $340.1m","F/S/H/O/E","AI-forward proprietary data and workflow platforms","JLL Spark CVC plus internal product platform","Falcon; Azara; LeasingOS; Prism; Asset Beacon; Building Engines; Corrigo","~600,000 JLL GPT prompts weekly; 900+ custom assistants; tens of thousands of users (2025)","company-reported","A","Data-workflow-distribution-venture benchmark for JCX","Tier 1","Adoption is not independently audited ROI","https://www.sec.gov/Archives/edgar/data/1037976/000103797626000037/jll-20251231.htm; https://spark.jllt.com/; https://s202.q4cdn.com/536608393/files/doc_financials/2025/ar/JLL_Annual-Report_2026_FINAL.pdf","2026-08-30"
"JLL Spark","https://spark.jllt.com/","active","United States","Global","corporate venture capital","$450m+ invested in 55+ early-stage built-world startups","F/S/O/E","Invests in scalable technology distributed through JLL","Dedicated CVC founded 2017","Global Ventures Funds; portfolio startups","$450m+ and 55+ startups","company-reported","B","Strategic capital plus go-to-market model","Tier 1","Count is not proof of deployment or returns","https://spark.jllt.com/","2026-08-30"
"CBRE","https://www.cbre.com/","active","United States","Global","services brokerage facilities capital markets","Global CRE services platform","F/S/O/E","AI in back office, research, transactions, development and maintenance","Internal AI/product investment and service integration","AI research; proactive maintenance workflows","No broad portfolio AI ROI disclosed","observed","A","Disciplined ROI-gate and service-led implementation benchmark","Tier 2","Strategy disclosure is stronger than product outcomes","https://ir.cbre.com/financial-reports/sec-filings/content/0001193125-26-141311/2025_ars_filing_4-3-26.pdf","2026-08-30"
"Prologis","https://www.prologis.com/","active","United States","Global","logistics REIT developer operator","Approximately 1.3bn sq ft owned/invested at Dec 2025","L/F/O/E","Real estate plus energy, digital infrastructure, proprietary data and AI","Prologis Ventures CVC and Essentials platform","Essentials; Ventures; OnPrem; Locus Robotics","90% employees used AI-enabled tools in 2025","company-reported","A","Monetising energy, automation and data services beyond rent","Tier 1","Adoption is not customer ROI; some robotics claims vendor-led","https://ir.prologis.com/financials/sec-filings/content/0001193125-26-051453/pld-20251231.htm; https://www.prologis.com/shareholder-letter-2025","2026-08-30"
"Lendlease","https://www.lendlease.com/","active","Australia","Australia Asia Europe United States","developer constructor investment manager","OLi managed 230+ projects and ~$60bn opportunities in 2021","L/D/C/O/E","Digitises origination, project delivery, asset management and digital twins","Product Development Centres; Digital Twin Consortium; partnerships","OLi; digital twins; BIM/IDD; drones; wearables","569,216 sqm WELL-rated portfolio; 5m safe work hours at TRX (historical claims)","company-reported","A","Design-to-operations and construction safety reference","Tier 1","Metrics are historical/project/company claims","https://www.lendlease.com/siteassets/lendlease/shared/investor-centre/announcements/reports/2021/2021-lendlease-annual-report-pdf.pdf; https://www.lendlease.com/siteassets/lendlease/shared/investor-centre/announcements/results/2020/fy20---2020-annual-report.pdf","2026-08-30"
"Aldar Properties","https://www.aldar.com/","active","United Arab Emirates","UAE United Kingdom","developer asset manager education hospitality","FY2024 revenue AED23.0bn; digital platforms 4.2m visits","L/S/F/H/O/E","Digital sales, agreements, startup pilots and smart connectivity","Startup collaboration and internal product teams","Live Aldar; Innovation; WiredScore/SmartScore; water recycling","4.2m visits; 45% international; >70% usage; 92% digital agreements; water systems 4 to 11 in 2024","company-reported","A","Closest Gulf benchmark for digital sales and pilot-to-scale","Tier 1","Definitions and causal attribution should be displayed","https://www.aldar.com/aldar-report2024/documents/aldar-annual-report-2024_compressed-1.pdf; https://cdn.aldar.com/en/news-and-media/aldar-fy-2024-financial-results","2026-08-30"
"Emaar Development","https://properties.emaar.com/","active","United Arab Emirates","UAE global hospitality markets","developer hospitality","Large UAE developer; exact scale not extracted","L/D/S/H/O/E","AI, analytics, IoT, cloud and automation","Exploring Group Innovation Hub; internal IT transformation","Project Hawkeye; Vyom; IT Transformation","No causal ROI disclosed","observed","A","Enterprise analytics and digital transaction reference","Tier 1","Adoption and ROI not disclosed","https://properties.emaar.com/wp-content/uploads/2025/03/Emaar-Development_Integrated-Report-for-the-Year-2024_EN.pdf","2026-08-30"
"Mubadala Real Assets","https://www.mubadala.com/","active","United Arab Emirates","Global","sovereign investor real assets","Portfolio spans digital infrastructure, logistics, healthcare/life sciences and living","L/F/O/E","Invests around digital transformation, urbanisation and decarbonisation","Institutional partnerships and thematic investment","Mubadala Real Assets; digital infrastructure","No property-tech ROI disclosed","observed","A","Capital-allocation comparator for JCX","Tier 2","Thesis broader than PropTech","https://annual2024.mubadala.com/en/onemubadala/real-assets","2026-08-30"
"Masdar City","https://www.mubadala.com/en/what-we-do/masdar-city","active","United Arab Emirates","Abu Dhabi","smart sustainable urban development","Buildings designed for at least 40% less water and energy than conventional buildings","L/D/O/E","Real-time urban laboratory for clean energy, water, mobility, AI and high-performance buildings","Tech Park and The Catalyst accelerator","Masdar City; Tech Park; The Catalyst","At least 40% less water and energy target (company claim)","company-reported","B","Masterplan-as-testbed model","Tier 2","Target baseline not independently validated","https://www.mubadala.com/en/what-we-do/masdar-city; https://masdar.ae/en/news/newsroom/tech-park-at-masdar-city-to-position-abu-dhabi-as-an-innovation-hub-for-start-ups","2026-08-30"
"CapitaLand Investment","https://www.capitaland.com/","active","Singapore","Asia global","asset manager developer lodging","Target S$200bn FUM by 2028; >130 assets managed in Singapore/India/China","L/S/H/O/E","Proprietary customer and asset platforms","CapitaStar and asset-light management","CapitaStar; workspace ecosystem","CapitaStar tenant sales S$1.3bn Singapore and RMB7.3bn China in 2024","company-reported","A","Physical-asset plus community-commerce data layer","Tier 1","Sales include location/product mix; causality unproven","https://ir.capitalandinvest.com/misc/ar2024/toc/; https://ir.capitalandinvest.com/","2026-08-30"
"Keppel","https://www.keppel.com/","active","Singapore","Asia global","asset manager real estate infrastructure connectivity","$88bn FUM and $436m asset-management fees in 2024","F/O/E","Converges real estate, energy, smart controls, data centres and connectivity","Asset-light transformation; funds and REITs","Smart controls; Keppel Data Centre Campus; Sustainable Urban Renewal","$70m recurring cost-savings target achieved two years early (group claim)","company-reported","A","Property-energy-digital infrastructure convergence","Tier 1","Savings group-wide, not solely property-tech","https://www.keppel.com/annualreport2024/; https://keppel.com/annualreport2024/theme/default/pdf/keppel-ltd-ar2024.pdf","2026-08-30"
"Mitsui Fudosan","https://www.mitsuifudosan.co.jp/english/","active","Japan","Japan global","developer urban platform","Customer base >16m; global developer","L/D/S/H/O/E","DX Vision 2030 combines real and digital worlds, AI and secure platforms","31VENTURES CVC/workspace/community plus group DX","DX Vision 2030; annual DX White Paper; INNOVATION 2030",">16m customers; no financial DX ROI disclosed","observed","A","Customer-network and neighbourhood DX benchmark","Tier 1","English disclosure has limited product outcomes","https://www.mitsuifudosan.co.jp/english/corporate/ir/library/integratedreport/ir2025/dx/; https://www.mitsuifudosan.co.jp/english/corporate/ir/library/integratedreport/pdf/IR2025_en.pdf","2026-08-30"
"31VENTURES","https://www.31ventures.jp/en/","active","Japan","Japan global","developer-led CVC venture client","¥43.5bn CVC total; 69 invested companies; 190 collaborations cumulative 2016-24","L/S/H/O/E","Combines startup services with Mitsui Fudosan assets and divisions","Fund + workspace + community","CVC I; CVC II; Growth I; Akerun; World Farm","7,100 potential investments/collaborations; 1,100 matches; 190 collaborations; 69 invested companies; 89 tenants","company-reported","A","Strong developer venture-client model for JCX","Tier 1","Activity counts are not financial returns","https://www.31ventures.jp/en/about/; https://www.31ventures.jp/en/fund/; https://www.31ventures.jp/en/case/","2026-08-30"
"BRICKS FUND TOKYO","https://bricks-fundtokyo.com/","active","Japan","Japan global","developer-led CVC","Mitsubishi Estate CVC; fund size not extracted","L/S/H/O","Invests in social-impact and industrial-restructuring startups","CVC jointly managed with Prime Partners","Mellow; IVRy; OptQC; MOZU","No portfolio-level ROI disclosed","observed","B","Urban-platform partnership model","Tier 2","Property deployment metrics sparse","https://bricks-fundtokyo.com/; https://www.mec.co.jp/ir/library/2023/1Q/irpresentation2023_2.pdf","2026-08-30"
"Skanska","https://www.skanska.com/","active","Sweden","Europe United States","construction developer infrastructure","2025 emissions 65% below 2015 Scope 1-2 benchmark","D/C/O/E","Industrialisation, AI, digital twins, scanning, robotics and drones","Central innovation portfolio and partner pilots","PlanIt; BIM/digital twins; AI safety; drones","PlanIt on every US project and 400,000+ work plans; no causal ROI","observed","A","Construction safety/data benchmark","Tier 1","Deployment clear; productivity causality not disclosed","https://group.skanska.com/493a91/siteassets/investors/reports-publications/annual-reports/2025/skanska-s-annual-and-sustainability-report-2025-pdf-.pdf","2026-08-30"
