snapshot_date,directory,directory_count_at_snapshot,name,yc_profile_url,yc_profile_slug,yc_company_id,batch,status,employee_count_shown,location_shown,city_shown,country_code_shown,official_one_liner,official_description_concise,visible_tags,inferred_lifecycle,inferred_category,jcx_screening_tier,jcx_screening_basis,in_proptech_directory,in_real_estate_directory,identity_status_source,research_caveat
2026-08-30,Real Estate and Construction,128,EquipmentShare,https://www.ycombinator.com/companies/equipmentshare,equipmentshare,809,W2015,Public,5400,"Columbia, MO, USA",Columbia,US,Cloud solutions for the construction industry.,"EquipmentShare delivers cloud solutions for the construction industry. We provide a better equipment rental experience, fleet tracking software and hardware security solutions to help contractors work smarter.",construction,L5 Construction; L7 Occupancy/tenant; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Atlia,https://www.ycombinator.com/companies/atlia,atlia,31257,S2026,Active,2,San Francisco,San Francisco,US,The AI-native property management company,"We manage short-term rental properties by running operations completely autonomously. By replacing costly human coordination with AI agents, we cut traditional management fees in half so Airbnb hosts take home 10% to 20% more revenue with zero effort. This lets us offer the best owner and guest experiences with the lowest management rates in the country.",real-estate; big-data; artificial-intelligence,L7 Occupancy/tenant; L8 FM/maintenance; L12 Data/intelligence,Property operations / housing,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,yes,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,SubVysion,https://www.ycombinator.com/companies/subvysion,subvysion,33313,S2026,Active,2,San Francisco,San Francisco,US,Autonomous rovers to make the ‘Google Maps’ of underground utilities,"We build centimeter-accurate 3D maps of underground utilities to help construction contractors dig safer and faster. With underground intelligence, contractors can avoid dangerous utility strikes and costly project delays.",construction; infrastructure; real-estate; computer-vision; hard-tech,L1 Land/site; L4 Design/BIM; L5 Construction,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,yes,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Alloovium,https://www.ycombinator.com/companies/alloovium,alloovium,32204,S2026,Active,5,"Brisbane QLD, Australia",Brisbane,AU,The company brain for construction companies,"Alloovium is the document intelligence layer for construction 🏗️ It reads every document and piece of data on a project (contracts, specs, drawings, compliance records, conversations), turning them into answers you can trust and actions with real value: every answer cites its exact source sentence, paperwork is checked clause by clause against the builder's own Integrated Management System, and nothing AI-drafted...",construction; ai,L5 Construction; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Vestris,https://www.ycombinator.com/companies/vestris,vestris,32751,S2026,Active,2,San Francisco,San Francisco,US,AI native platform for real estate closings,"Vestris automates title processing end-to-end, from contract to close, so title shops can close more deals with fewer processors. Title insurance has famously high margins, but slow, manual processing is a constant pain — especially in today's bleeding housing market.",workflow-automation; home-services,L1 Land/site; L3 Capital/finance; L7 Occupancy/tenant; L12 Data/intelligence,Real-estate finance / insurtech,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,FlowManual,https://www.ycombinator.com/companies/flowmanual,flowmanual,32525,S2026,Active,2,San Francisco,San Francisco,US,AI for Construction's Back Office,"FlowManual is the all-in-one AI estimating, bidding, and purchasing platform for both general and MEP construction contractors. Built by two engineers and Harvard dropouts, FlowManual automates the buying process during pre-construction. With FlowManual, specialty contractors win more work while general contractors deliver at higher standards.",construction; workflow-automation; saas,L5 Construction; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,RealPact,https://www.ycombinator.com/companies/realpact,realpact,32195,S2026,Active,2,San Francisco,San Francisco,US,AI-native OS for Real Estate Brokerages,"RealPact builds AI agents that handle the paperwork behind real estate transactions. They find property records like deeds, tax records, permits, parcel data, and MLS information, then use that data to fill out contracts, organize documents, track deadlines, and help brokerages close deals faster. We are starting by automating transactions and will expand into other parts of brokerage operations. Much of the...",real-estate; enterprise-software; ai,L1 Land/site; L6 Marketing/sales; L7 Occupancy/tenant; L12 Data/intelligence,Property data / transaction infrastructure,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,yes,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,CentralComs,https://www.ycombinator.com/companies/centralcoms,centralcoms,31543,P2026,Active,2,San Francisco,San Francisco,US,AI agent platform for home services companies.,"Home services companies lose money on missed calls and idle techs. When the phone rings during a job and nobody picks up, that lead goes to a competitor and the trucks already on the road sit half-booked because dispatch can't keep the schedule tight. CentralComs fixes this with AI agents that answer every call, route each job to the right technician, and keep the calendar full. They handle intake, dispatch, and...",home-services,L8 FM/maintenance; L12 Data/intelligence,Real-estate software / adjacent,B,Adjacent capability with a plausible real-estate use case; validate local workflow and integration fit.,no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,AquaShield,https://www.ycombinator.com/companies/aquashield,aquashield,31487,P2026,Active,3,San Francisco,San Francisco,US,AI water leak detection for buildings,AquaShield protects large real estate portfolios against water damage (losses of up to hundreds of millions per year).,,L9 Portfolio/asset; L12 Data/intelligence,Real-estate software / adjacent,C,"Interesting discovery lead, but the direct JCX/developer use case is not evident from directory copy.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
2026-08-30,Real Estate and Construction,128,Rudus,https://www.ycombinator.com/companies/rudus,rudus,31346,P2026,Active,2,San Francisco,San Francisco,US,AI Takeoffs for Concrete,"Rudus is an AI-powered takeoff and estimation platform enabling concrete contractors to win 3x more projects yearly. It automatically identifies every concrete structure like footings, walls, columns, and slabs on plans, eliminating the manual work and reducing estimation time by 70%. Concrete is the most-used material on earth after water, and demand is surging with the AI infrastructure boom.",,L5 Construction; L12 Data/intelligence,ConTech / construction operations,A,"Direct fit for a developer's digitization, project, property, transaction, data, or ESG workflows.",no,no,https://www.ycombinator.com/companies/industry/real-estate-and-construction,"YC directory/company copy is a discovery source and is not independently verified here; status, employees, location, tags, and descriptions are point-in-time fields."
