"name","canonical_url","status","status_as_of","hq_country","operating_regions","founding_year","cohort_or_ecosystem","primary_lifecycle","secondary_lifecycle","category","entity_type","business_model","maturity","evidence_grade","jcx_relevance","relevance_tier","headline_claim","claim_type","caveats","source_urls","last_verified"
"Oracle Construction & Engineering","https://www.oracle.com/construction-engineering/aconex/","active","2026-08-30","United States","Global","unknown","Oracle","L5 Construction","L2 Feasibility/L3 Capital/finance/L11 Handover/end-of-life","construction CDE payment and project-controls platform suite","public company","enterprise software licensing and cloud services","enterprise","A","High","1","Aconex, Textura, Primavera Cloud and Unifier form an enterprise construction/project-control suite spanning controlled records, cost/change, field and payment workflows","official product description","Aconex/Textura/Primavera/Unifier are products in one Oracle suite; footprint and customer claims require claim-level verification","https://www.oracle.com/construction-engineering/aconex/|https://docs.oracle.com/en/industries/construction-engineering/|https://www.oracle.com/construction-engineering/textura-construction-payment-management/","2026-08-30"
"RealPage","https://www.realpage.com/","active","2026-08-30","United States","North America global","unknown","Independent","L8 Property operations","L6 Marketing/sales/L7 Occupancy/L9 Portfolio","property management ERP leasing maintenance payments and AI operations","private company","enterprise SaaS and managed services","enterprise","A","High","1","Property operations and Lumina AI connect accounting leasing maintenance procurement utilities payments and resident workflows","official product description; company-reported scale","24m rental units, 8,500 employees and AI/NOI outcomes are company-reported; distinguish parent and product modules","https://www.realpage.com/|https://www.realpage.com/platforms/property-operations/|https://www.realpage.com/multifamily/|https://www.realpage.com/news/realpage-showcases-lumina-ai-at-apartmentalize-2025/","2026-08-30"
"Northspyre","https://www.northspyre.com/","active","2026-08-30","United States","North America","unknown","Independent","L2 Feasibility","L1 Land/site/L3 Capital/finance/L4 Design/L5 Construction/L9 Portfolio","development management acquisition budget vendor and approval workflow platform","private startup","enterprise SaaS and advisory","scaleup","A","High","1","Single platform from acquisition through stabilization with Deal and Development workflows for budgets costs vendors approvals and data","official product description; company-reported scale","$32.5m raised, 100+ employees and $500bn projects facilitated are company-reported","https://www.northspyre.com/about-us|https://www.northspyre.com/?hsLang=en|https://www.northspyre.com/all-asset-classes/commercial|https://www.northspyre.com/blog/northspyre-2025-year-in-review","2026-08-30"
"Juniper Square","https://www.junipersquare.com/","active","2026-08-30","United States","Global","unknown","Independent","L3 Capital/finance","L9 Portfolio/L7 Occupancy","private-markets real-estate fund operating system","private company","enterprise SaaS and fund-administration services","enterprise","A","High","1","Fundraising investor operations accounting treasury reporting data rooms payments and AI oversight in one GP/LP operating system","official product description; company-reported scale","2,300+ GPs, $1T investor equity, valuation and customer scale are company-reported","https://www.junipersquare.com/|https://www.junipersquare.com/company/press","2026-08-30"
"Dealpath","https://www.dealpath.com/","active","2026-08-30","United States","Global","unknown","Independent","L2 Feasibility","L3 Capital/finance/L9 Portfolio","CRE investment pipeline underwriting CRM deal execution and portfolio intelligence","private company","enterprise SaaS and integrations","enterprise","A","High","1","AI-powered CRE investment operating system for pipeline screening deal execution portfolio insight governance and integrations","official product description; company-reported scale","300+ firms and $10T+ transactions supported are company-reported; AI outcomes need customer-level evidence","https://www.dealpath.com/platform/|https://www.dealpath.com/|https://www.dealpath.com/company/","2026-08-30"
"Altus Group ARGUS Intelligence / ARGUS Enterprise","https://www.altusgroup.com/solutions/argus-enterprise/","active","2026-08-30","Canada","Global","unknown","Independent","L2 Feasibility","L3 Capital/finance/L9 Portfolio","commercial real-estate valuation cash-flow forecasting and portfolio intelligence","public company","enterprise software licensing and cloud services","enterprise","A","High","1","ARGUS Enterprise provides lease-by-lease cash-flow modeling valuation budgeting scenario analysis and asset management within ARGUS Intelligence","official product description; public-company filing","Profile Altus/ARGUS as one product family; valuation-standard and adoption claims require attribution","https://www.altusgroup.com/solutions/argus-enterprise/|https://www.altusgroup.com/argus/|https://assets.ctfassets.net/8jgyidtgyr4v/5JvyDH3YNv4OXX5GbjMkvl/2a9d210f709762517c3e55477457ac3f/Altus_Group_Limited_MDA_2025Q4.pdf","2026-08-30"
"EliseAI","https://eliseai.com/","active","2026-08-30","United States","North America","unknown","Independent","L6 Marketing/sales","L7 Occupancy/L8 Property operations","AI leasing resident communications CRM and property-operations workflow","private startup","AI SaaS and services","scaleup","A","High","1","Housing AI synchronizes PMS and CRM data to automate prospect resident and operations workflows across the resident journey","official product description; company-reported scale","1-in-6 apartments, $400m funding, $200m ARR and conversation counts are company-reported","https://eliseai.com/about-us|https://eliseai.com/platform-overview|https://info.eliseai.com/hubfs/One-Pager-Product-Resident-EliseCRM-PMC-Final.pdf","2026-08-30"
"Siemens Building X","https://www.siemens.com/en-gb/products/building-x/","active","2026-08-30","Germany","Global","unknown","Siemens","L8 Property operations","L10 ESG/L9 Portfolio","cloud building energy sustainability safety security and operations platform","public company","hardware software and subscription","enterprise","A","High","1","Open cloud platform and Operations Manager unify real-time building data for energy sustainability safety security maintenance and lifecycle operations","official product description; company/customer-reported outcome","Building X is a Siemens product scope; customer savings and certifications should be separately attributed","https://www.siemens.com/en-gb/products/building-x/|https://news.siemens.com/en-us/siemens-presents-building-x-an-ai-based-solution-for-transforming-buildings-into-climate-neutral-buildings/","2026-08-30"
"Schneider Electric EcoStruxure Building","https://www.se.com/ww/en/work/products/product-launch/building-management-system/","active","2026-08-30","France","Global","unknown","Schneider Electric","L8 Property operations","L10 ESG/L9 Portfolio","open building management system energy and integrated controls platform","public company","hardware software and subscription","enterprise","A","High","1","EcoStruxure Building Operation integrates HVAC lighting fire/security IWMS meters EV renewables and open protocols with APIs and semantic tagging","official product description","Profile the building platform, not Schneider's entire industrial portfolio; integration claims do not equal local protocol compatibility","https://www.se.com/ww/en/work/products/product-launch/building-management-system/|https://www.se.com/ww/en/assets/564/document/514405/presentation-agm-2025-en.pdf","2026-08-30"
"Johnson Controls OpenBlue","https://openblue.johnsoncontrols.com/","active","2026-08-30","Ireland","Global","unknown","Johnson Controls","L8 Property operations","L10 ESG/L9 Portfolio","AI-native BMS-agnostic building performance energy comfort and cybersecurity platform","public company","hardware software and services","enterprise","A","High","1","OpenBlue unifies building data and AI agents for autonomous performance energy comfort equipment workplace cybersecurity and interoperability","official product description; company/customer-reported outcome","Energy reduction, onboarding and maintenance outcomes are company/customer claims; separate platform from JCI hardware/services","https://openblue.johnsoncontrols.com/|https://openblue.johnsoncontrols.com/openblue-intelligence|https://www.johnsoncontrols.com/media-center/news/press-releases/2026/08/04/johnson-controls-unveils-ai-powered-openblue-platform-expansions","2026-08-30"
