name,canonical_url,status,status_as_of,hq_country,operating_regions,founding_year,cohort_or_ecosystem,primary_lifecycle,secondary_lifecycle,category,entity_type,business_model,maturity,evidence_grade,jcx_relevance,relevance_tier,headline_claim,claim_type,caveats,source_urls,last_verified
Bproperty,https://www.bproperty.com/,live-domain-legacy-unresolved,2026-08-30,Bangladesh,Bangladesh,2016,EMPG-DCG-history,discover-sell-rent,legal-mortgage-valuation,property-marketplace,private-company,listing-and-transaction-fees,unclear,A/B,listing-UX-and-lead-channel,C,major-historic-portal-current-domain-disclaims-legacy-affiliation,historical-press-plus-company,verify-entity-data-contracts-and-inventory,https://www.bproperty.com/about-us;https://www.bproperty.com/terms-of-use;https://www.bssnews.net/business/107809,2026-08-30
PropertyLand,https://www.propertyland.co/,live,2026-08-30,Bangladesh,Bangladesh,2024,local-early-stage,discover-buy-sell,legal-investment-consulting,marketplace-legal-guidance,private-startup,transaction-and-advisory,early-stage,B/D,possible-partner,B,claims-300-clients-1000-properties-70-brands-500-visitors,company-claim,no-independent-traction-found,https://www.propertyland.co/footer/about,2026-08-30
Barikoi,https://barikoi.com/,active,2026-08-30,Bangladesh,Bangladesh-Singapore-GCC,2017,Iterative-IDLC-AcceliCITY,site-selection-location,logistics-address-normalization,geospatial-APIs,private-startup,API-SaaS-enterprise,early-growth,B/A,maps-address-catchments-delivery,A/B,local-mapping-infrastructure-and-IDLC-investment,company-plus-investor,not-a-title-verifier-test-accuracy-and-data-rights,https://www.crunchbase.com/organization/barikoi;https://www.linkedin.com/posts/idlc-asset-management-limited_idlc-venture-capitalhas-made-an-equity-investment-activity-7196948544384098304-EgcV,2026-08-30
Vextrus,https://www.vextrus.com/,live-early-product,2026-08-30,Bangladesh,Bangladesh,2026,local-KUET-founders,land-JV-project-procurement-accounting,sales-collections-HR-tax,AI-developer-ERP,private-startup,subscription-SaaS,early-stage,B/D,unified-JCX-OS-pilot,A/B,24-agents-and-savings-are-company-claims,company-claim,validate-references-security-export-uptime,https://www.vextrus.com/;https://bd.linkedin.com/company/vextrus,2026-08-30
E-Hishabi,https://ehishabi.com/,live-product,2026-08-30,Bangladesh,Bangladesh,Unknown,local-ERP-vendor,land-sales-collections,procurement-construction-HR-accounts,real-estate-ERP,private-software-company,subscription-implementation,early-stage,B/D,compare-local-ERP,B,customer-count-and-outcomes-not-published,company-product-page,unknown,https://ehishabi.com/,2026-08-30
PropERP,https://properp.app/,live-product,2026-08-30,Bangladesh,Bangladesh,2018,SpaGreen-Creative,booking-collections-JV,CRM-marketing-brokers-inventory,developer-ERP-automation,private-product,subscription-implementation,early-scale,B/D,booking-kisti-JV-broker-pilot,A,broader-SpaGreen-metrics-not-PropERP-proof,company-page,unknown,https://properp.app/;https://properp.app/bn,2026-08-30
Unova-Estate,https://www.estate.unova.bd/,live-product,2026-08-30,Bangladesh,Bangladesh,Unknown,local-AI-vendor,CRM-inventory-booking,land-BOQ-construction-HR-finance,AI-developer-ERP-CRM,private-startup,subscription-SaaS,early-stage,B/D,local-language-JV-PDC,B,45-percent-efficiency-and-zero-double-booking-self-claims,company-claim,request-references-security-docs,https://www.estate.unova.bd/;https://www.estate.unova.bd/solutions/erp-for-real-estate-developers,2026-08-30
ProQ,https://www.proq.com.bd/,early-live-signal,2026-08-30,Bangladesh,Bangladesh,2025,local-early-stage,construction-procurement,architecture-real-estate,procurement-marketplace,private-startup,marketplace-leads,early-stage,C/D,watchlist-bounded-pilot,C/D,LinkedIn-indicates-2-to-10-employees,company-profile,no-outcome-evidence,https://www.linkedin.com/company/proq-platform,2026-08-30
BuildMart,https://buildmart.com.bd/,live-product,2026-08-30,Bangladesh,Bangladesh,Unknown,Buildcon-Bangladesh,materials-sourcing-RFQ,professional-services-cost-calculators,construction-marketplace,private-initiative,marketplace-supplier-leads,early-stage,B/D,test-RFQ-and-verified-materials,B,verification-and-integration-not-audited,company-page,unknown,https://buildmart.com.bd/pages/about-us,2026-08-30
NirmanBazaar,https://www.nirmanbazaar.com.bd/,live-product,2026-08-30,Bangladesh,Bangladesh,Unknown,local-early-stage,materials-procurement-delivery,project-tracking-cost-loans-credit,construction-marketplace,private-startup,marketplace-margin-credit,early-stage,B/D,potential-procurement-partner,B,claims-suppliers-buyers-districts-products-credit-not-audited,company-claim,unknown,https://www.nirmanbazaar.com.bd/;https://info-vendor.nirmanbazaar.com/,2026-08-30
