relationship_id,subject_entity_id,subject_name,relationship_type,object_name,object_entity_id,relationship_status,source_urls_json,verified_or_retrieved_at,source_dataset,editorial_note
rel-2ecb3ae64a24,org-biomason-5aaaaad,Biomason,member_of_or_discovered_via,2150,,reported_or_directory_observed,"[""https://2150.vc/investments/biomason"",""https://biomason.com/"",""https://biomason.com/biocement""]",2026-08-30,final_residual_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-f84e299a2b9e,org-cocoon-ff50211,Cocoon,member_of_or_discovered_via,2150,,reported_or_directory_observed,"[""https://2150.vc/investments/cocoon"",""https://cocooncarbon.com/"",""https://cocooncarbon.com/about""]",2026-08-30,startup_core_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-d3b41eb7112c,org-gigaton-140a05c,Gigaton,member_of_or_discovered_via,2150,,reported_or_directory_observed,"[""https://2150.vc/investments/gigaton"",""https://gigaton.co/"",""https://gigaton.co/product""]",2026-08-30,startup_core_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-1cf0aa91b0f4,org-nabr-9ac18d4,Nabr,member_of_or_discovered_via,2150,,reported_or_directory_observed,"[""https://2150.vc/investments/nabr"",""https://2150.vc/wp-content/uploads/2024/01/2150_Impact-report-2023_Master_2605.pdf"",""https://nabr.com/""]",2026-08-30,startup_core_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-820b518a3cd2,org-opensolar-375b039,OpenSolar,member_of_or_discovered_via,2150,,reported_or_directory_observed,"[""https://2150.vc/investments/opensolar"",""https://opensolar.com/""]",2026-08-30,startup_core_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-ac477ac822f7,org-powerplay-ca9649a,Powerplay,member_of_or_discovered_via,Accel-seed-2021,,reported_or_directory_observed,"[""https://accel.com/companies/powerplay""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-b8a5d008c3d2,org-facilio-ee1952a,Facilio,member_of_or_discovered_via,Accel-Tiger-Dragoneer-Brookfield,,reported_or_directory_observed,"[""https://facilio.com/newsroom/series-a"",""https://facilio.com/newsroom/series-b"",""https://facilio.in/"",""https://facilio.in/about""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-98f6d65298b5,org-nearmap-8a8f2ad,Nearmap,member_of_or_discovered_via,aerial-property-intelligence,,reported_or_directory_observed,"[""https://nearmap.com/au"",""https://nearmap.com/au/about"",""https://nearmap.com/au/property-intelligence""]",2026-08-30,regional_companies_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-3b1cd7a904d0,org-mubawab-4b0178e,Mubawab,member_of_or_discovered_via,Africa Property Portals,,reported_or_directory_observed,"[""https://mubawab.com/"",""https://mubawab.ma/en/about""]",2026-08-30,coverage_gap_additions.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
rel-0dda0aa2a856,org-alchemist-built-world-adjacent-portfolio-c108545,Alchemist built-world adjacent portfolio,member_of_or_discovered_via,Alchemist,,reported_or_directory_observed,"[""https://alchemistaccelerator.com/portfolio-2""]",2026-08-30,proptech_startups_agent.csv,"Membership is a discovery relationship, not evidence of deployment or outcome."
