discovery_id,display_name,name_variants_json,record_type_signals_json,qualified_entity_ids_json,evidence_stage,discovery_only,source_layers_json,source_layer_count,domains_json,candidate_urls_json,profile_urls_json,yc_company_ids_json,yc_batches_json,yc_status_signals_json,ecosystems_json,ecosystem_count,ecosystem_source_row_ids_json,ecosystem_source_row_count,ecosystem_status_signals_json,category_signals_json,lifecycle_signals_json,jcx_tier_signals_json,region_signals_json,country_signals_json,location_signals_json,employee_count_signals_json,description_signals_json,source_urls_json,source_url_count,identity_resolution_methods_json,needs_identity_review,identity_notes_json,snapshot_date,publication_note
dsc-cce2b2ea6c2a,011h,"[""011h""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,[],[],"[""https://cemexventures.com/top-50""]",[],[],[],"[""CEMEX Ventures Top 50 ConTech 2026""]",1,"[""eco-src-036df5ef6d07""]",1,"[""Selected for 2026 Top 50""]","[""Future of construction""]",[],[],[],[],[],[],"[""Future of construction""]","[""https://cemexventures.com/top-50""]",1,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-916b066b3d82,100,"[""100""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""get100.com""]","[""https://get100.com/""]","[""https://metaprop.com/portfolio""]",[],[],[],"[""MetaProp""]",1,"[""eco-src-1a970e70c537""]",1,"[""Active/portfolio""]",[],[],[],[],[],[],[],[],"[""https://get100.com/"",""https://metaprop.com/portfolio""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-3d541ef6bec0,1KOMMA5,"[""1KOMMA5""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,[],[],"[""https://2150.vc/investments/1komma5""]",[],[],[],"[""2150""]",1,"[""eco-src-697caf424b66""]",1,"[""Investment displayed; current status not inferred""]",[],[],[],"[""Germany""]",[],[],[],"[""1KOMMA5 1KOMMA5° is a one-stop solution for rooftop solar, battery storage, EV charging, and heat pumps, building Europe's largest fleet of decentralized energy assets.""]","[""https://2150.vc/investments/1komma5""]",1,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-cf30c769d230,31VENTURES,"[""31VENTURES""]","[""program_ecosystem""]","[""org-31ventures-1867c79""]",qualified_core,false,"[""qualified_core""]",1,"[""31ventures.jp""]","[""https://31ventures.jp/en""]",[],[],[],[],[],0,[],0,[],[],"[""L1"",""L10"",""L6"",""L7"",""L8""]","[""A""]",[],"[""Japan""]",[],[],[],"[""https://31ventures.jp/en"",""https://31ventures.jp/en/about"",""https://31ventures.jp/en/case"",""https://31ventures.jp/en/fund""]",4,"[""qualified_core_identity""]",false,[],2026-08-30,Qualified-core identity; individual claims still require editorial review.
dsc-1f0a1b46488b,3V Infrastructure,"[""3V Infrastructure""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""3vinfrastructure.com""]","[""https://3vinfrastructure.com/""]","[""https://moderneventures.com/portfolio/3v-infrastructure""]",[],[],[],"[""Moderne Ventures / Passport""]",1,"[""eco-src-edc54744b621""]",1,"[""Portfolio/Passport listing displayed""]","[""Passport""]",[],[],[],[],[],[],"[""EV Charging without the Cost or Complexity — Enabling EV charging across portfolios by eliminating the upfront capital investment and operational complexity — Passport""]","[""https://3vinfrastructure.com/"",""https://moderneventures.com/portfolio/3v-infrastructure""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-12ee72e0d464,42Floors,"[""42Floors""]",[],[],discovery_only,true,"[""yc_real_estate_construction_2026-08-30""]",1,[],[],"[""https://ycombinator.com/companies/42floors"",""https://ycombinator.com/companies/industry/real-estate-and-construction""]","[""7""]","[""W2012""]","[""Acquired""]",[],0,[],0,[],"[""Real-estate software / adjacent""]","[""L7 Occupancy/tenant; L9 Portfolio/asset; L12 Data/intelligence""]","[""A""]",[],"[""US""]","[""San Francisco""]","[""60""]","[""*Acquired by Knotel in 2018 42Floors was founded in November of 2011 with the vision of making it easy to discover and create your dream office space. Based in San Francisco, the 42Floors team is made up of experienced entrepreneurs, engineers, and real estate professionals. All with a passion for making the commercial real estate search process easier for everyone. On the site, you'll find available spaces,..."",""We make it easy to search for office space.""]","[""https://ycombinator.com/companies/42floors"",""https://ycombinator.com/companies/industry/real-estate-and-construction""]",2,"[""source_native_yc_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-0917050ac1bf,99-Group,"[""99-Group""]","[""organization""]","[""org-99-group-12db5df""]",qualified_core,false,"[""qualified_core""]",1,"[""99.co""]","[""https://99.co/""]",[],[],[],[],[],0,[],0,[],"[""SEA-portal-data""]","[""L3""]","[""B""]",[],"[""Singapore""]",[],[],[],"[""https://99.co/"",""https://99.co/about-us"",""https://99.co/about-us/indonesia""]",3,"[""qualified_core_identity""]",false,[],2026-08-30,Qualified-core identity; individual claims still require editorial review.
dsc-a767bb4c4957,Abode,"[""Abode""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""goabode.com""]","[""https://goabode.com/""]","[""https://moderneventures.com/portfolio/abode""]",[],[],[],"[""Moderne Ventures / Passport""]",1,"[""eco-src-2d453d12f509""]",1,"[""Exited (displayed)""]","[""Passport""]",[],[],[],[],[],[],"[""On-demand smart home security — A no contract, professional-grade home security system with a suite of advanced monitoring and integrated home automation features — Passport""]","[""https://goabode.com/"",""https://moderneventures.com/portfolio/abode""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-4071eff98ac4,Abodu,"[""Abodu""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""abodu.com""]","[""https://abodu.com/""]","[""https://moderneventures.com/portfolio/abodu""]",[],[],[],"[""Moderne Ventures / Passport""]",1,"[""eco-src-df866d20d018""]",1,"[""Exited (displayed)""]","[""Passport""]",[],[],[],[],[],[],"[""Scalable ADU solutions for housing flexibility and affordability — Transforming backyard space into livable homes with beautifully designed and built accessory dwelling units — Passport""]","[""https://abodu.com/"",""https://moderneventures.com/portfolio/abodu""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
dsc-d30d2c1ec241,Accor,"[""Accor""]","[""organization""]","[""org-accor-ce52bb6""]",qualified_core,false,"[""qualified_core""]",1,"[""group.accor.com""]","[""https://group.accor.com/en""]",[],[],[],[],[],0,[],0,[],"[""global multi-segment hospitality platform""]","[""L10"",""L3"",""L4"",""L6"",""L7"",""L8""]","[""B""]",[],"[""France""]",[],[],[],"[""https://assets.group.accor.com/yrj0orc8tx24/dwdklcBVai21ztMLgb3A5/e53a5c4937c07351b855819fd097b8a6/ACCOR_DEU2025_MEL_US_270326.pdf"",""https://group.accor.com/en"",""https://group.accor.com/en/documents-publications"",""https://group.accor.com/en/finance/esg-reporting-ratings""]",4,"[""qualified_core_identity""]",false,[],2026-08-30,Qualified-core identity; individual claims still require editorial review.
dsc-faa464262aa4,Acelab,"[""Acelab""]",[],[],discovery_only,true,"[""built_environment_ecosystem_discovery_index""]",1,"[""acelabusa.com""]","[""https://acelabusa.com/""]","[""https://spark.jllt.com/portfolio""]",[],[],[],"[""JLL Spark""]",1,"[""eco-src-eb94c9097d21""]",1,"[""Active/portfolio""]",[],[],[],[],[],[],[],"[""The all-in-one materials management platform View website""]","[""https://acelabusa.com/"",""https://spark.jllt.com/portfolio""]",2,"[""source_native_ecosystem_identity""]",false,[],2026-08-30,"Discovery presence is not operating, traction, outcome, security or JCX-fit evidence."
