name,canonical_url,status,status_as_of,hq_country,operating_regions,founding_year,cohort_or_ecosystem,primary_lifecycle,secondary_lifecycle,category,entity_type,business_model,maturity,evidence_grade,jcx_relevance,relevance_tier,headline_claim,claim_type,caveats,source_urls,last_verified
AUAR,https://auar.io/,active,2026-08-30,United Kingdom,Europe,,Shadow Ventures,L5 Construction,L4 Design,automated architecture and modular construction robotics,private company,hardware plus deployment services,seed,A,High,1,"Deploys on-demand robotic microfactories to produce modular building components with low upfront capital.",product description,"Shadow marks the investment as seed and 2025; production and unit economics require diligence.",https://shadow.vc/investments/auar|https://auar.io/|https://auar.io/how-it-works,2026-08-30
Lumina,https://luminatech.co/,active,2026-08-30,United States,North America and global,,Shadow Ventures,L5 Construction,L10 Climate/energy,zero-emission heavy civil equipment and robotics,private company,hardware plus equipment operations,scaleup,A,High,1,"Develops a 32-ton electric dozer for heavy civil work and construction-equipment decarbonization.",product description,"Shadow marks a 2025 Series A; company specifications and deployment claims are not independently verified.",https://shadow.vc/investments/lumina|https://luminatech.co/moonlander,2026-08-30
MagicDoor,https://magicdoor.com/,active,2026-08-30,United States,North America,,Shadow Ventures,L8 Property operations,L6 Marketing/sales,AI-native property management for leasing maintenance accounting and resident communication,private company,SaaS subscription,early,A,High,1,"Automates recurring property-management workflows across leasing maintenance accounting and tenant communication.",product description,"Shadow marks pre-seed and 2024; company-reported automation rates should not be treated as measured outcomes.",https://shadow.vc/investments/magicdoor|https://magicdoor.com/|https://shadow.vc/blog/announcing-our-investment-in-magicdoor,2026-08-30
Teleo,https://www.teleo.ai/,active,2026-08-30,United States,North America and global,,CEMEX Ventures Construction Startup Competition Top 50 2025,L5 Construction,L10 Climate/energy,supervised autonomy for heavy machinery,private company,hardware plus software and deployment,scaleup,B,High,1,"Enables one remote operator to supervise multiple construction machines, targeting productivity and safety in heavy civil work.",company product description,"CEMEX selection and company examples are strong signals but autonomy deployment and economics are company-reported.",https://www.cemexventures.com/top-50-2025/|https://www.teleo.ai/technology/|https://www.teleo.ai/,2026-08-30
Gravis Robotics,https://www.gravisrobotics.com/,active,2026-08-30,Switzerland,Europe North America and global,,Zacua Ventures; CEMEX Ventures Construction Startup Competition Top 50 2025,L5 Construction,L10 Climate/energy,robotic retrofit for earthmoving equipment,private company,hardware plus software,scaleup,A,High,1,"Retrofits earthmoving machinery with sensing and AI-enabled robotic control to raise throughput and fleet utilization.",company product description,"Funding and performance signals are company-reported; maintain a separate identity from similarly named software firms.",https://zacuaventures.com/portfolio/|https://www.gravisrobotics.com/|https://www.cemexventures.com/top-50-2025/,2026-08-30
Trunk Tools,https://trunktools.com/,active,2026-08-30,United States,North America and global,,CEMEX Ventures Construction Startup Competition Top 50 2025,L5 Construction,L4 Design,construction field intelligence and document workflow AI,private company,SaaS subscription,scaleup,B,High,1,"Turns project documents and field knowledge into searchable and actionable construction workflows.",company product description,"Jobsite and volume metrics are company claims; customer and funding fields should be refreshed.",https://www.cemexventures.com/top-50-2025/|https://trunktools.com/,2026-08-30
Outbuild,https://www.outbuild.com/,active,2026-08-30,United States,North America and global,,Zacua Ventures,L5 Construction,L9 Portfolio,scheduling and field coordination software,private company,SaaS subscription,scaleup,A,High,1,"Provides collaborative AI-enabled scheduling and field coordination for construction projects.",company product description,"Customer, project-volume and employee metrics are company-reported; preserve canonical outbuild.com identity.",https://zacuaventures.com/portfolio/|https://www.outbuild.com/|https://www.outbuild.com/about-us,2026-08-30
Field Materials,https://www.fieldmaterials.com/,active,2026-08-30,United States,North America and global,,Zacua Ventures,L5 Construction,L3 Capital/finance,construction procurement AP and inventory software,private company,SaaS subscription,early,A,High,1,"Connects construction purchasing vendor discovery inventory and accounts-payable workflows.",company product description,"Orders projects vendors and geographic reach are company-reported; verify current customer concentration.",https://zacuaventures.com/portfolio/|https://www.fieldmaterials.com/about,2026-08-30
Track3D,https://track3d.ai/,active,2026-08-30,United States,North America and global,,Zacua Ventures,L5 Construction,L9 Portfolio,reality capture and construction progress intelligence,private company,SaaS plus capture services,scaleup,A,High,1,"Combines site captures and reality intelligence to verify construction progress for owners lenders and contractors.",company product description,"Capture counts savings and financing are company/customer claims; distinguish from other 3D tracking products.",https://zacuaventures.com/portfolio/|https://track3d.ai/|https://track3d.ai/reality-intelligence-platform/|https://track3d.ai/newsroom/,2026-08-30
Funnel Leasing,https://funnelleasing.com/,active,2026-08-30,United States,North America,,RET Ventures,L6 Marketing/sales,L8 Property operations,multifamily renter-management and leasing CRM,private company,SaaS subscription,scaleup,A,High,1,"Provides a connected inquiry-to-renewal renter-management workflow for multifamily operators.",product description,"Already present discovery-only in the 690-record universe; promote to the 228 core after enrichment.",https://www.ret.vc/portfolio|https://funnelleasing.com/about/,2026-08-30
Lula,https://lula.life/,active,2026-08-30,United States,North America,,RET Ventures,L8 Property operations,L5 Construction,property maintenance coordination and vendor network,private company,managed marketplace plus SaaS,scaleup,A,High,1,"Coordinates property maintenance vendors work orders and predictive workflows for multifamily and single-family managers.",company product description,"Already discovery-only; lula.com redirects to unrelated Gail financial-services software, so retain lula.life.",https://www.ret.vc/portfolio|https://lula.life/company,2026-08-30
PredictAP,https://www.predictap.com/,active,2026-08-30,United States,North America,,RET Ventures,L8 Property operations,L3 Capital/finance,AI invoice ingestion coding and AP controls for real estate,private company,SaaS subscription,scaleup,A,High,1,"Automates invoice ingestion coding allocation and fraud/duplicate-payment controls for property operators.",product description,"Already discovery-only; customer and savings metrics require independent verification.",https://www.ret.vc/portfolio|https://www.ret.vc/perspectives/looking-back-on-a-successful-2023|https://www.predictap.com/,2026-08-30
Property Shield,https://propertyshield.co/,active,2026-08-30,United States,North America,,RET Ventures,L8 Property operations,L3 Capital/finance,AI real-estate fraud and data-security platform,private company,SaaS subscription,early,A,High,1,"Protects multifamily and single-family rental businesses from scams impersonation illegal occupancy and unauthorized data use.",product description,"Already discovery-only; do not merge with PropertyShield AI at propertyshieldai.com.",https://www.ret.vc/portfolio|https://propertyshield.co/,2026-08-30
Stan.AI,https://www.stan.ai/,active,2026-08-30,United States,North America,,RET Ventures,L8 Property operations,L6 Marketing/sales,AI property operations for HOA multifamily student housing and hospitality,private company,SaaS subscription,early,A,High,1,"Uses resident-facing assistants and workflow automation for maintenance communications budgeting bids and board operations.",product description,"Already discovery-only; generic Stan.AI naming is collision-prone, so preserve punctuation and canonical domain.",https://www.ret.vc/portfolio|https://www.stan.ai/company,2026-08-30
DroneDeploy,https://www.dronedeploy.com/,active,2026-08-30,United States,North America and global,,BuiltWorlds Building Tech Top 50 2025,L5 Construction,L9 Portfolio,visual AI drone and reality capture for construction,private company,SaaS subscription plus capture hardware integrations,scaleup,A,High,1,"Provides visual AI and drone/reality capture for construction progress quality safety and site operations.",product description,"StructionSite was acquired by DroneDeploy in 2022; keep the acquired product as lineage rather than a second active company.",https://builtworlds.com/insights/2025-building-tech-top-50-list/|https://www.dronedeploy.com/,2026-08-30
One Click LCA,https://oneclicklca.com/en-gb/,active,2026-08-30,Finland,Europe and global,,BuiltWorlds Building Tech Top 50 2025,L4 Design,L5 Construction,life-cycle assessment EPD and embodied-carbon software,private company,SaaS subscription,scaleup,A,High,1,"Measures life-cycle impacts and supports EPD and embodied-carbon decisions across building design materials and construction.",product description,"Company adoption claims should be refreshed; do not merge with EC3 or general LCA consultancies.",https://builtworlds.com/insights/2025-building-tech-top-50-list/|https://oneclicklca.com/en-gb/,2026-08-30
Revizto,https://revizto.com/,active,2026-08-30,Switzerland,Europe and global,,BuiltWorlds Building Tech Top 50 2025,L4 Design,L5 Construction,BIM coordination and 2D/3D collaboration,private company,SaaS subscription,scaleup,A,High,1,"Coordinates BIM models issues and project collaboration across design and construction teams.",product description,"Customer and project counts are company-reported; preserve Revizto spelling.",https://builtworlds.com/insights/2025-building-tech-top-50-list/|https://revizto.com/,2026-08-30
Cupix,https://www.cupix.com/,active,2026-08-30,South Korea,Asia North America and global,,BuiltWorlds Building Tech Top 50 2025,L5 Construction,L4 Design,4D digital twins from 360 video laser drone and BIM,private company,SaaS subscription plus capture integrations,scaleup,A,High,1,"Builds 4D digital twins from site captures and BIM for progress facilities and handover workflows.",product description,"Global project and efficiency claims are company-reported; confirm current legal HQ during enrichment.",https://builtworlds.com/insights/2025-building-tech-top-50-list/|https://www.cupix.com/,2026-08-30
Speckle,https://speckle.systems/,active,2026-08-30,Europe,Europe and global,,Foundamental,L4 Design,L5 Construction,open AEC data hub and real-time BIM collaboration,private company,SaaS subscription plus developer platform,scaleup,A,High,1,"Provides an open real-time data and collaboration layer for fragmented AEC/BIM workflows.",product description,"Foundamental investment year is 2020; canonical software identity is speckle.systems.",https://www.foundamental.com/portfolio|https://speckle.systems/|https://docs.speckle.systems/quickstart/welcome,2026-08-30
Gigaton,https://gigaton.co/,active,2026-08-30,United Kingdom,Europe and global,,2150,L5 Construction,L10 Climate/energy,AI control and decarbonization of cement plants,private company,SaaS plus industrial deployment,scaleup,A,High,1,"Uses AI to autonomously control energy-intensive plants, starting with cement, to reduce cost and emissions.",product description,"Already discovery-only; gigaton.co is distinct from Gigaton CO2 at gigatonco2.com.",https://www.2150.vc/investments/gigaton|https://gigaton.co/product,2026-08-30
