code,label,taxonomy_version,editorial_note
L1,"Land, site and origination",2026-08-30-v1,Lifecycle and technology layer are separate axes.
L2,Feasibility and development strategy,2026-08-30-v1,Lifecycle and technology layer are separate axes.
L3,"Capital, finance and transactions",2026-08-30-v1,Lifecycle and technology layer are separate axes.
L4,"Design, BIM and preconstruction",2026-08-30-v1,Lifecycle and technology layer are separate axes.
L5,Construction delivery,2026-08-30-v1,Lifecycle and technology layer are separate axes.
L6,"Marketing, sales, leasing and distribution",2026-08-30-v1,Lifecycle and technology layer are separate axes.
L7,Occupancy and customer experience,2026-08-30-v1,Lifecycle and technology layer are separate axes.
L8,Property and facility operations,2026-08-30-v1,Lifecycle and technology layer are separate axes.
L9,"Asset, portfolio and investment management",2026-08-30-v1,Lifecycle and technology layer are separate axes.
L10,"ESG, climate, resilience and health",2026-08-30-v1,Lifecycle and technology layer are separate axes.
L11,"Handover, warranty and end-of-life",2026-08-30-v1,Lifecycle and technology layer are separate axes.
L12,Cross-lifecycle data and trust,2026-08-30-v1,Lifecycle and technology layer are separate axes.
