inclusion_decision,identity,canonical_url,status_currentness,geography,lifecycle,category,exact_jcx_relevance,evidence_source_urls,cohort_ecosystem,maturity_signal,caveats,suggested_tier
must_add,AUAR,https://auar.io/,Active; Shadow portfolio page current,UK / Europe,Seed / venture-backed,Construction robotics and modular microfactories,Direct evidence for automated low-capex housing production and regional contractor enablement,https://shadow.vc/investments/auar|https://auar.io/|https://auar.io/how-it-works,Shadow Ventures,Seed; invested 2025,Use AUAR as the canonical company; do not merge with similarly named architecture practices,Tier 1 / anchor
must_add,Lumina,https://luminatech.co/,Active; Shadow portfolio page current,US,Series A / venture-backed,Zero-emission heavy civil equipment and robotics,Adds electric heavy-equipment decarbonization and productivity to the JCX construction-operations lens,https://shadow.vc/investments/lumina|https://luminatech.co/moonlander,Shadow Ventures,Series A; invested 2025; 32-ton dozer,Canonical site is luminatech.co; avoid Lumina Lidar and unrelated Lumina brands,Tier 1 / anchor
must_add,MagicDoor,https://magicdoor.com/,Active; Shadow portfolio page current,US,Pre-seed / venture-backed,AI property management,Directly covers AI-native leasing maintenance accounting and renter communication for smaller and multifamily operators,https://shadow.vc/investments/magicdoor|https://magicdoor.com/|https://shadow.vc/blog/announcing-our-investment-in-magicdoor,Shadow Ventures,Pre-seed; invested 2024,Do not merge with magicdoor.ai generative-AI site,Tier 1 / anchor
must_add,Teleo,https://www.teleo.ai/,Active; CEMEX Top 50 2025 and company site current,US / global,Seed-to-growth venture-backed,Supervised autonomy for heavy machinery,High-value bridge between construction productivity safety and labor scarcity; operator can supervise multiple machines,https://www.cemexventures.com/top-50-2025/|https://www.teleo.ai/technology/|https://www.teleo.ai/,CEMEX Ventures Construction Startup Competition Top 50 2025,Commercial deployments and named operator/customer examples,Autonomy claims are company-reported; separate from teleoperation vendors with similar names,Tier 1 / anchor
must_add,Gravis Robotics,https://www.gravisrobotics.com/,Active; Zacua portfolio and company site current,Switzerland / US / UK,Series A / venture-backed,Robotic retrofit for earthmoving equipment,Decision-relevant construction robotics with retrofit path for existing fleets and measurable throughput potential,https://zacuaventures.com/portfolio/|https://www.gravisrobotics.com/,Zacua Ventures; CEMEX Top 50 2025,Series A; 2025 financing and 2026 company update,Company throughput and financing figures are self-reported; do not merge with Gravis software names,Tier 1 / anchor
must_add,Trunk Tools,https://trunktools.com/,Active; CEMEX Top 50 2025 and company site current,US / global,Seed-to-growth venture-backed,Construction field intelligence and document workflow AI,Adds a practical project-controls and field-knowledge layer that is absent from a platform-only view,https://www.cemexventures.com/top-50-2025/|https://trunktools.com/,CEMEX Ventures Construction Startup Competition Top 50 2025,500+ jobsites and $50B claimed construction volume,Metrics are company claims; validate customer and funding fields before scoring,Tier 1 / anchor
must_add,Outbuild,https://www.outbuild.com/,Active; Zacua portfolio and company site current,US / global,Series A / venture-backed,AI collaborative scheduling and field coordination,Core JCX workflow for schedule reliability and contractor coordination; complements existing PM and BIM coverage,https://zacuaventures.com/portfolio/|https://www.outbuild.com/|https://www.outbuild.com/about-us,Zacua Ventures,400+ customers and $50B active projects claimed; 60+ employees,Customer and employee counts are company-reported; do not confuse with generic outbuild terminology,Tier 1 / anchor
must_add,Field Materials,https://www.fieldmaterials.com/,Active; Zacua portfolio and company site current,US,Seed / venture-backed,Construction procurement AP and inventory,Directly covers fragmented materials purchasing vendor discovery and payment operations,https://zacuaventures.com/portfolio/|https://www.fieldmaterials.com/about,Zacua Ventures,2B+ orders and 30k+ projects claimed,Scale metrics are company-reported; canonical is fieldmaterials.com,Tier 1 / anchor
must_add,Track3D,https://track3d.ai/,Active; Zacua portfolio and company newsroom current,US / global,Series A / venture-backed,Reality capture and construction progress intelligence,High-relevance field verification and draw/progress evidence layer for owners lenders and GCs,https://zacuaventures.com/portfolio/|https://track3d.ai/|https://track3d.ai/reality-intelligence-platform/|https://track3d.ai/newsroom/,Zacua Ventures,2025 $10m Series A claimed; 100k+ captures and enterprise deployments,Performance and funding figures are company/customer claims; distinguish from 3D tracking vendors,Tier 1 / anchor
must_add,Funnel Leasing,https://www.funnelleasing.com/,Active; RET portfolio page current,US,Scale-up / venture-backed,Multifamily leasing CRM and renter operations,Material multifamily operating-system coverage missing from current core; useful for renter funnel and asset-operator analysis,https://www.ret.vc/portfolio,RET Ventures,RET investment 2019; early-stage at entry,RET page is the primary current-status source; avoid treating as a property manager,Tier 1 / anchor
must_add,Lula,https://lula.life/,Active; RET portfolio page current,US,Early / venture-backed,Property maintenance operations,Represents distributed maintenance coordination for multifamily and single-family rental portfolios,https://www.ret.vc/portfolio|https://lula.life/company,RET Ventures,RET investment 2022; nearly 100 employees and nearly 50 markets claimed,Canonical is lula.life; lula.com now redirects to an unrelated financial-services product,Tier 1 / anchor
must_add,PredictAP,https://www.predictap.com/,Active; RET portfolio page current,US,Seed / venture-backed,AP invoice ingestion and coding for property managers,Directly covers finance automation and property-operations data plumbing,https://www.ret.vc/portfolio|https://www.ret.vc/perspectives/looking-back-on-a-successful-2023,RET Ventures,RET investment 2023; seed,Do not merge with generic predictive-AP products; preserve capitalization PredictAP,Tier 1 / anchor
must_add,Property Shield,https://propertyshield.co/,Active; RET portfolio page current,US,Seed / venture-backed,AI data security and fraud prevention for housing,Adds cyber/fraud risk to the JCX property-operations and AI-adoption lens,https://www.ret.vc/portfolio|https://propertyshield.co/,RET Ventures,RET investment 2025; seed,Do not merge with PropertyShield AI at propertyshieldai.com; RET source is current portfolio authority,Tier 1 / anchor
must_add,Stan.AI,https://www.stan.ai/,Active; RET portfolio page current,US,Early / venture-backed,AI property operations and HOA workflows,Important 2026 signal for agentic property operations across multifamily HOA SFR and adjacent property types,https://www.ret.vc/portfolio,RET Ventures,RET investment 2026; early-stage,Generic Stan.AI naming creates collision risk; retain punctuation and canonical domain,Tier 1 / anchor
must_add,DroneDeploy,https://www.dronedeploy.com/,Active; BuiltWorlds 2025 Building Tech Top 50 and company site current,US / global,Growth / venture-backed,Visual AI drone and reality capture for construction,Adds the missing scaled visual-progress/safety incumbent and complements OpenSpace Matterport and Track3D,https://builtworlds.com/insights/2025-building-tech-top-50-list/|https://www.dronedeploy.com/,BuiltWorlds Building Tech Top 50 2025,Enterprise product and global customer base,StructionSite was acquired by DroneDeploy in 2022; keep StructionSite as product lineage not a separate current company,Tier 1 / anchor
