name,canonical_url,status,status_as_of,hq_country,operating_regions,founding_year,cohort_or_ecosystem,primary_lifecycle,secondary_lifecycle,category,entity_type,business_model,maturity,evidence_grade,jcx_relevance,relevance_tier,headline_claim,claim_type,caveats,source_urls,last_verified
QuintoAndar,https://www.quintoandar.com.br/newsroom/en/about/,active,2026-08-30,Brazil,Latin America,2013,Independent,L6 Marketing/sales,L7 Occupancy/L3 Capital/finance,housing marketplace and transaction platform,private company,transaction fees and embedded services,scaleup,A,High,1,"Online rent, buy and sell workflow with a business ecosystem and data products; company reports 15,000+ new rental contracts monthly and 3,000+ monthly sales","company-reported scale and product description","Claims are company-reported; market-share and transaction numbers need independent verification; Brazil legal and payment rails do not transfer directly.","https://www.quintoandar.com.br/newsroom/en/about/|https://www.quintoandar.com.br/newsroom/en/",2026-08-30
Loft,https://loft.com.br/para-imobiliarias/institucional-loft/,active,2026-08-30,Brazil,Brazil,2018,Independent,L6 Marketing/sales,L3 Capital/finance/L7 Occupancy,real-estate platform CRM credit and rental guarantee,private company,software plus financial intermediation and guarantee,scaleup,A,High,1,"Integrates CRM, portals, digital signatures, rent guarantees, mortgage intermediation and rental administration; company reports 9,000+ partner agencies and R$10bn credit origination in 2024","company-reported scale and product description","Regulated credit/insurance functions and partner economics require local diligence; customer and origination metrics are company-reported.","https://loft.com.br/para-imobiliarias/institucional-loft/|https://loft.com.br/para-imobiliarias/",2026-08-30
La Haus,https://www.lahaus.com/quienes-somos,active,2026-08-30,Colombia,Latin America,2017,Independent,L6 Marketing/sales,L1 Land/site/L3 Capital/finance,new-home marketplace and developer transaction platform,private company,transaction and lead fees,scaleup,A,High,1,"Connects buyers with verified new-home developers and performs legal/reputational and title checks on projects","product description","Verification badges and investor claims are not proof of legal title or project delivery; Colombia and Mexico workflows differ from Bangladesh.","https://www.lahaus.com/quienes-somos",2026-08-30
Habi,https://habi.co/inicio,active,2026-08-30,Colombia,Colombia and Mexico,2019,Independent,L6 Marketing/sales,L3 Capital/finance/L9 Portfolio,instant home-buying and data-enabled resale platform,private company,principal purchase resale and transaction services,scaleup,A,High,1,"Uses technology and data to buy homes directly, renovate and resell; expanded from Colombia into Mexico","company product description","Principal inventory creates underwriting and working-capital risk; current operating scope and outcomes need financial verification.","https://habi.co/inicio|https://centro-ayuda.habi.co/hc/es-419/articles/20481671498011--Qu%C3%A9-es-Habi",2026-08-30
Houm,https://houm.com/co/quienes-somos,active,2026-08-30,Chile,Chile Mexico and Colombia,2018,Y Combinator W2021,L6 Marketing/sales,L7 Occupancy/L8 Property operations,all-in-one residential marketplace and management,private startup,transaction and property-management fees,scaleup,A,High,1,"Digital workflow for renting, buying, selling and managing homes across three Latin American markets; company reports 20,000+ owners","company-reported scale and product description","Owner and property metrics are company claims; country-specific tenancy, collections and service quality must be rechecked.","https://houm.com/co/quienes-somos|https://www.ycombinator.com/companies/houm",2026-08-30
Clau,https://www.ycombinator.com/companies/clau,active,2026-08-30,Mexico,Mexico,2020,Y Combinator S2020,L6 Marketing/sales,L3 Capital/finance/L9 Portfolio,real-estate super-app marketplace CRM mortgage and data,private startup,marketplace SaaS and financial intermediation,scaleup,A,Medium,2,"YC describes a Mexican marketplace, broker CRM, mortgage brokerage, renovation services and residential data layer","YC company description","YC directory description is not an audited operating or customer outcome report; current product breadth and licensing need recheck.","https://www.ycombinator.com/companies/clau",2026-08-30
GoJom,https://www.ycombinator.com/companies/gojom,active,2026-08-30,Peru,Latin America,2022,Y Combinator W2022,L6 Marketing/sales,L3 Capital/finance/L7 Occupancy,one-stop real-estate marketplace and transaction services,private startup,marketplace and transaction fees,early-growth,A,Medium,2,"YC describes a faster way to buy sell and rent property across Latin America using technology and machine learning","YC company description","Early-stage directory evidence; verify countries, licensing, transaction volume and current operations before relying on it.","https://www.ycombinator.com/companies/gojom",2026-08-30
Property Finder,https://www.propertyfinder.ae/en/about-us.html,active,2026-08-30,United Arab Emirates,MENA,2005,Independent,L6 Marketing/sales,L3 Capital/finance/L9 Portfolio,property marketplace data and agent technology,private company,listing subscriptions data products and transaction services,scaleup,A,High,1,"MENA platform with transaction data, valuation and AI ranking products; official history reports Data Guru and SuperAgent launches and a 2025 investment round","company product description and financing announcement","Funding and product claims are company-reported; portal leads are not the same as closed transactions; local data access is market-specific.","https://www.propertyfinder.ae/en/about-us.html|https://www.propertyfinder.ae/en",2026-08-30
Dubizzle Group / Bayut,https://www.dubizzlegroup.com/our-brands/,active,2026-08-30,United Arab Emirates,MENA,2005,Independent,L6 Marketing/sales,L9 Portfolio/L3 Capital/finance,property classifieds market intelligence and agent workflow,private company,listing subscriptions CRM data APIs and advertising,scaleup,A,High,1,"Bayut and dubizzle combine marketplace distribution with property intelligence, automated valuation, DLD-linked transactions and agent tools","company product description and group disclosure","Bayut is a brand within Dubizzle Group; deduplicate group and brand in the website; investor and market-leadership claims need date labels.","https://www.dubizzlegroup.com/our-brands/|https://www.dubizzlegroup.com/",2026-08-30
Mubawab,https://www.mubawab.ma/en/about,active,2026-08-30,Morocco,Morocco and Tunisia/Maghreb,2012,Africa Property Portals,L6 Marketing/sales,L9 Portfolio,North African property marketplace and market data,private company,listing subscriptions advertising and transaction services,scaleup,A,Medium,2,"Digital property platform connecting buyers renters agencies and developers; official page reports 2m+ monthly visits and acquisition of Jumia House in the Maghreb","company-reported scale and acquisition disclosure","Traffic is company-reported and not equivalent to leads or closings; French/Arabic and country coverage are key localization variables.","https://www.mubawab.ma/en/about|https://www.mubawab.com/",2026-08-30
