record_id,name,canonical_name,canonical_url,status,status_as_of,hq_country,operating_regions,founding_year,entity_type,business_model,cohort_or_ecosystem,primary_lifecycle,secondary_lifecycle,category,maturity,evidence_grade,jcx_relevance,relevance_tier,scale_signal,tech_strategy,innovation_model,named_initiatives,headline_claim,claim_type,caveats,source_urls,last_verified,source_datasets,merged_record_count,status_conflict,identity_note
org-31ventures-1867c79,31VENTURES,31VENTURES,https://www.31ventures.jp/en/,active,,Japan,Japan global,,developer-led CVC venture client,,,L/S/H/O/E,,,,A,Strong developer venture-client model for JCX,A,¥43.5bn CVC total; 69 invested companies; 190 collaborations cumulative 2016-24,Combines startup services with Mitsui Fudosan assets and divisions,Fund + workspace + community,CVC I; CVC II; Growth I; Akerun; World Farm,"7,100 potential investments/collaborations; 1,100 matches; 190 collaborations; 69 invested companies; 89 tenants",company-reported,Activity counts are not financial returns,https://www.31ventures.jp/en/|https://www.31ventures.jp/en/about/|https://www.31ventures.jp/en/fund/|https://www.31ventures.jp/en/case/,2026-08-30,global_real_estate_pioneers_agent.csv,1,false,
org-aldar-properties-4218e8b,Aldar Properties,Aldar Properties,https://www.aldar.com/,active,,United Arab Emirates,UAE United Kingdom,,developer asset manager education hospitality,,,L/S/F/H/O/E,,,,A,Closest Gulf benchmark for digital sales and pilot-to-scale,A,FY2024 revenue AED23.0bn; digital platforms 4.2m visits,"Digital sales, agreements, startup pilots and smart connectivity",Startup collaboration and internal product teams,Live Aldar; Innovation; WiredScore/SmartScore; water recycling,4.2m visits; 45% international; >70% usage; 92% digital agreements; water systems 4 to 11 in 2024,company-reported,Definitions and causal attribution should be displayed,https://www.aldar.com/|https://www.aldar.com/aldar-report2024/documents/aldar-annual-report-2024_compressed-1.pdf|https://cdn.aldar.com/en/news-and-media/aldar-fy-2024-financial-results,2026-08-30,global_real_estate_pioneers_agent.csv,1,false,
org-alice-technologies-3d2a5de,ALICE Technologies,ALICE Technologies,https://www.alicetechnologies.com/,active,2026-08-30,United States,North America Europe Australia and global,,private company,enterprise SaaS subscription and implementation,Brick & Mortar Ventures || JLL Spark,L5 Construction delivery,L2 Feasibility; L4 Design and preconstruction; L9 Portfolio management,AI construction scheduling simulation and optioneering,scaleup,A,A distinct benchmark for scenario-based project planning and schedule optimization before and during delivery,A,,,,,"ALICE Plan, Optimize and Model support 2D schedule visualization, P6 or MSP schedule optimization, BIM-based modelling and construction scenario simulation.",official product description,"Optimization, time and cost benefits are vendor or customer claims unless independently measured; fit depends on disciplined schedules, WBS and BIM inputs.",https://www.alicetechnologies.com/|https://www.alicetechnologies.com/construction-optioneering|https://brickmortar.vc/portfolio|https://spark.jllt.com/portfolio/,2026-08-30,final_residual_additions.csv,1,false,
org-altus-group-argus-intelligence-argus-enterprise-3e9e2c7,Altus Group ARGUS Intelligence / ARGUS Enterprise,Altus Group ARGUS Intelligence / ARGUS Enterprise,https://www.altusgroup.com/solutions/argus-enterprise/,active,2026-08-30,Canada,Global,unknown,public company,enterprise software licensing and cloud services,Independent,L2 Feasibility,L3 Capital/finance/L9 Portfolio,commercial real-estate valuation cash-flow forecasting and portfolio intelligence,enterprise,A,High,A,,,,,ARGUS Enterprise provides lease-by-lease cash-flow modeling valuation budgeting scenario analysis and asset management within ARGUS Intelligence,official product description; public-company filing,Profile Altus/ARGUS as one product family; valuation-standard and adoption claims require attribution,https://www.altusgroup.com/solutions/argus-enterprise/|https://www.altusgroup.com/argus/|https://assets.ctfassets.net/8jgyidtgyr4v/5JvyDH3YNv4OXX5GbjMkvl/2a9d210f709762517c3e55477457ac3f/Altus_Group_Limited_MDA_2025Q4.pdf,2026-08-30,enterprise_platform_additions.csv,1,false,
org-archistar-2a1bcac,Archistar,Archistar,https://www.archistar.ai/,active,2026-08-30,Australia,Australia-US-Canada-UK-UAE-Saudi-NZ,Unknown,private-startup,subscription-data-pilots,NSW-AI-Planning-panel-government-grant,site-selection-feasibility,3D-generative-design-applications,AI-feasibility-planning,scale,A,RAJUK-CDA-DAP-feasibility,A,,,,,planning-data-does-not-transfer-licensed-signoff,government-company,unknown,https://www.archistar.ai/|https://www.archistar.ai/for-property-developers-legacy/|https://www.planning.nsw.gov.au/news/nsw-government-bringing-planning-21st-century,2026-08-30,regional_companies_agent.csv,1,false,
org-auar-c47f01d,AUAR,AUAR,https://auar.io/,active,2026-08-30,United Kingdom,Europe,,private company,hardware plus deployment services,Shadow Ventures,L5 Construction,L4 Design,automated architecture and modular construction robotics,seed,A,High,A,,,,,Deploys on-demand robotic microfactories to produce modular building components with low upfront capital.,product description,Shadow marks the investment as seed and 2025; production and unit economics require diligence.,https://auar.io/|https://shadow.vc/investments/auar|https://auar.io/how-it-works,2026-08-30,startup_core_additions.csv,1,false,
org-aurora-solar-62db3f0,Aurora Solar,Aurora Solar,https://www.aurorasolar.com/,active,2026-08-30,United States,Global,2013,Company,SaaS,Fifth Wall,Climate,Sales,Solar design sales finance,Scaleup,A,Medium,A,,,,,Cloud PV design proposals workflow and installer sales,Company/VC scale claim,Local tariff net-metering roofs EPC and finance,https://www.aurorasolar.com/|https://www.fifthwall.com/portfolio,2026-08-30,proptech_startups_agent.csv,1,false,
org-aurum-proptech-3c687dc,Aurum-PropTech,Aurum-PropTech,https://www.aurumproptech.in/,active,2026-08-30,India,India,Unknown,public-company,portfolio-SaaS-transactions,NSE-BSE-Aurum-ecosystem,property-data-capital-platforms,rental-analytics-investment,integrated-PropTech-holding,scale,A,ecosystem-acquisition-benchmark,A,,,,,portfolio-and-market-potential-are-company-statements,company-page,unknown,https://www.aurumproptech.in/|https://www.aurumproptech.in/about,2026-08-30,regional_companies_agent.csv,1,false,
org-banner-37f93a0,Banner,Banner,https://www.ycombinator.com/companies/banner,active,2026-08-30,United States,United States,2019,Company,SaaS,YC S2019,Operations,Data,Real-estate operating system,Scaleup,B,High,A,,,,,Acquisition-to-disposition workflow and admin automation,YC self-description,Claims not independently verified and local fit,https://www.ycombinator.com/companies/banner,2026-08-30,proptech_startups_agent.csv,1,false,
org-bentley-systems-ecbac87,Bentley Systems,Bentley Systems,https://www.bentley.com/en/products/itwin-platform/,active,2026-08-30,United States,Global,1984,public company,enterprise software licensing and cloud services,Public,L4 Design,L5 Construction/L8 Property operations/L9 Portfolio,infrastructure digital twins and engineering data platform,enterprise,A,High,A,,,,,iTwin federates engineering BIM reality GIS IoT schedule and enterprise data into open-API infrastructure digital twins,official product description and customer stories,Infrastructure-led rather than residential PropTech; implementation and proprietary schemas can create integration complexity.,https://www.bentley.com/en/products/itwin-platform/|https://www.bentley.com/en/products/itwin-iot/,2026-08-30,coverage_gap_additions.csv,1,false,
