ecosystem,ecosystem_type,company_name,company_url,official_source_url,source_page_type,source_capture_date,status,status_note,region,category,official_description,discovery_only,name_source
2150,physical-world and built-environment venture investor,1KOMMA5,,https://www.2150.vc/investments/1komma5,official investment card,2026-08-30,Investment displayed; current status not inferred,Exit is recorded only when the official card visibly marks it; otherwise listing is not treated as proof of current operating status.,Germany,,"1KOMMA5 1KOMMA5° is a one-stop solution for rooftop solar, battery storage, EV charging, and heat pumps, building Europe's largest fleet of decentralized energy assets.",true,official investment card text
2150,physical-world and built-environment venture investor,Aeroseal,,https://www.2150.vc/investments/aeroseal,official investment card,2026-08-30,Investment displayed; current status not inferred,Exit is recorded only when the official card visibly marks it; otherwise listing is not treated as proof of current operating status.,United States,,Aeroseal Aeroseal seals leaky HVAC and building envelopes with a chewing-gum-like material plus AI and IoT hardware that could cut 1.4% of global CO2 emissions.,true,official investment card text
2150,physical-world and built-environment venture investor,Ampd Energy,,https://www.2150.vc/investments/ampd-energy,official investment card,2026-08-30,Investment displayed; current status not inferred,Exit is recorded only when the official card visibly marks it; otherwise listing is not treated as proof of current operating status.,Singapore,,"Ampd Energy Ampd Energy's battery storage systems replace diesel generators on construction sites, enabling cleaner, quieter, safer operations at lower cost.",true,official investment card text
2150,physical-world and built-environment venture investor,AtmosZero,,https://www.2150.vc/investments/atmoszero,official investment card,2026-08-30,Investment displayed; current status not inferred,Exit is recorded only when the official card visibly marks it; otherwise listing is not treated as proof of current operating status.,United States,,"AtmosZero AtmosZero built the world's first modular, electrified steam-generating heat pump, a direct, cost-effective replacement for gas boilers in industry.",true,official investment card text
2150,physical-world and built-environment venture investor,Biomason,,https://www.2150.vc/investments/biomason,official investment card,2026-08-30,Investment displayed; current status not inferred,Exit is recorded only when the official card visibly marks it; otherwise listing is not treated as proof of current operating status.,United States,,"Biomason Biomason uses microorganisms to grow concrete and cement, cutting up to 95% of CO2e emissions versus traditional Portland cement.",true,official investment card text
2150,physical-world and built-environment venture investor,Blue Frontier,,https://www.2150.vc/investments/blue-frontier,official investment card,2026-08-30,Investment displayed; current status not inferred,Exit is recorded only when the official card visibly marks it; otherwise listing is not treated as proof of current operating status.,United States,,"Blue Frontier Blue Frontier's smart HVAC system cuts cooling energy use by up to 90%, using integrated energy storage to deliver comfort and healthier indoor air.",true,official investment card text
2150,physical-world and built-environment venture investor,CarbonCure,,https://www.2150.vc/investments/carboncure,official investment card,2026-08-30,Investment displayed; current status not inferred,Exit is recorded only when the official card visibly marks it; otherwise listing is not treated as proof of current operating status.,Canada,,"CarbonCure CarbonCure's retrofit technology lets concrete producers cut their carbon footprint by injecting captured CO₂ into mixers, where it mineralizes permanently.",true,official investment card text
2150,physical-world and built-environment venture investor,Cocoon,,https://www.2150.vc/investments/cocoon,official investment card,2026-08-30,Investment displayed; current status not inferred,Exit is recorded only when the official card visibly marks it; otherwise listing is not treated as proof of current operating status.,United Kingdom,,"Cocoon Cocoon turns waste steel slag into a low-cost, low-carbon, high-performance cement replacement, easing global shortages of cementitious materials.",true,official investment card text
2150,physical-world and built-environment venture investor,Disperse,,https://www.2150.vc/investments/disperse,official investment card,2026-08-30,Investment displayed; current status not inferred,Exit is recorded only when the official card visibly marks it; otherwise listing is not treated as proof of current operating status.,United Kingdom,,"Disperse Exited Disperse uses 360° imaging and data capture to give teams a real-time view of site progress, cutting re-work and keeping projects on time.",true,official investment card text
2150,physical-world and built-environment venture investor,Ember,,https://www.2150.vc/investments/ember,official investment card,2026-08-30,Investment displayed; current status not inferred,Exit is recorded only when the official card visibly marks it; otherwise listing is not treated as proof of current operating status.,United Kingdom,,Ember Ember drives a modal shift away from single-occupancy cars while electrifying the highest-mileage vehicles on the road: intercity buses.,true,official investment card text
