standard_id,name,domain,status_or_version,solves,adoption_or_maturity,open_or_license,primary_url,jcx_implication,lockin_or_caveat,source_as_of
BSI-IFC,Industry Foundation Classes (IFC),BIM exchange,ISO 16739-1:2024 / IFC 4.3,Open exchange of BIM lifecycle data across authoring and FM tools,High as exchange standard; implementation quality varies,Open international standard,https://www.iso.org/standard/84123.html,Require IFC 4.3 deliverables with model-view and property validation,Valid IFC may still omit operational properties or lose relationships,2026-08-30
BSI-IDS,Information Delivery Specification (IDS),BIM requirements,Final v1.0 (2024),Machine-readable information requirements and automated IFC validation,Final standard; growing tool ecosystem,Open standard,https://www.buildingsmart.org/information-delivery-specification-ids-v1-0-is-approved-as-a-final-standard/,Attach IDS to every design procurement construction and handover gate,Validates declared model content not physical truth; poor requirements remain valid,2026-08-30
BSI-BCF,BIM Collaboration Format (BCF),BIM coordination,File and REST API standard,Portable model issue and clash coordination without proprietary model files,High; file and web implementations,Open standard,https://technical.buildingsmart.org/standards/bcf/,Make issues first-class records linked to IFC GUIDs and evidence,Issue layer is not full document/change control; test API versus file support,2026-08-30
BSI-BSDD,buildingSMART Data Dictionary (bSDD),Semantics/dictionaries,Live API/service with versioned dictionaries,Stable multilingual classes properties values and relations for built environment terms,Live service; dictionary quality/governance varies,Free service with terms/licensing by publisher,https://www.buildingsmart.org/users/services/buildingsmart-data-dictionary/,Use URIs and versioned API mappings plus JCX Bangladesh extension,Content/API versions change; cache terms and never rely on unversioned identifier URLs,2026-08-30
BSI-OPENCDE,open Common Data Environment APIs,CDE/API,API family (documents foundation BCF bSDD),Cross-platform document issue and data-environment exchange,Emerging/openBIM API ecosystem,Open standards,https://services.buildingsmart.org/,Require API export/import and document/issue archive from CDE vendors,Vendor CDE may claim compatibility without full round-trip semantics,2026-08-30
ISO-19650,ISO 19650 information management,BIM process,Parts 1-6; Part 5:2020; Part 6:2025,Defines information requirements roles workflows approvals status and security across asset lifecycle,High process maturity in BIM-led markets,International standard; full text licensed,https://www.iso.org/sectors/building-construction/building-information-modelling,Create OIR AIR PIR EIR BEP CDE status and responsibility matrix,Certification can become paperwork unless linked to decisions and tests,2026-08-30
ISO-19650-5,ISO 19650-5 security-minded BIM,Security/BIM,2020 confirmed 2025,Sensitivity triage and security-minded management of sensitive information,Published and confirmed; adoption depends on contracts,International standard; full text licensed,https://www.iso.org/standard/74206.html,Classify and restrict security drawings tenant data and critical-system information,Does not replace ISO 27001/OT controls or local law,2026-08-30
ISO-23386,ISO 23386 property dictionary methodology,Semantics/dictionaries,2020 confirmed 2025,Rules roles and governance for properties in interconnected data dictionaries,Published methodology; requires local governance,International standard; full text licensed,https://www.iso.org/standard/75401.html,Run a JCX dictionary commission with definitions units mappings and versions,Defines method not content; governance effort remains with JCX,2026-08-30
ISO-23387,ISO 23387 data templates,BIM/product data,2025 second edition,Machine-interpretable object data templates across asset lifecycle,Published 2025; aligned with ISO 12006-3; XSD available,International standard; full text licensed,https://www.iso.org/standard/85391.html,Template equipment products spaces handover and environmental data,Templates require actual domain content and product data adoption,2026-08-30
OSCRE-IDM,OSCRE Industry Data Model,Enterprise real estate,130+ use cases public description; current home references 150+,Common enterprise real-estate investment occupier lease vocabulary and schemas,Industry-led and broad; full IDM requires registration/license,Open standards with access/license terms,https://www.oscre.org/Industry-Data-Model/Introducing-the-Data-Model,Map leases units parties investments procurement and portfolio data to OSCRE,Do not force enterprise model into IFC geometry; access and version terms apply,2026-08-30
ISO-55000,ISO 55000 asset management,Asset management,2024 edition,Value-aligned lifecycle asset-management vocabulary principles outcomes and maturity,Published; mature management-system family,International standard; full text licensed,https://committee.iso.org/sites/tc251/home/projects/published/iso-55000.html,Connect asset condition risk lifecycle cost service level and sustainability to decisions,Framework does not itself provide a software schema,2026-08-30
ISO-55001,ISO 55001 asset management system,Asset management,2024 second edition,Requirements for an asset-management system and continual improvement,Published; certification ecosystem,International standard; full text licensed,https://www.iso.org/standard/83054.html,Use as governance target for lifecycle maintenance and capital planning,Certification costs and process overhead; not a digital-twin model,2026-08-30
ISO-41001,ISO 41001 facility management,Facility management,2018 plus 2024 amendment,FM management-system requirements and service alignment,Published; international FM standard,International standard; full text licensed,https://www.iso.org/standard/72840.html,Link work orders services SLAs occupants and asset outcomes,Management system not a point/telemetry ontology,2026-08-30
BRICK,Brick Schema,Building semantics,Open-source current documentation,Semantic graph of building assets systems spaces equipment points and relationships,Open-source; strong smart-building and research ecosystem,BSD-3-Clause open source,https://docs.brickschema.org/,Evaluate as canonical operations graph for cross-building analytics,Modeling effort and ontology crosswalks required; not enterprise lease/BIM model,2026-08-30
HAYSTACK,Project Haystack,Building IoT semantics,Open-source current stack,Pragmatic tags file types ontology and HTTP API for building IoT data,Established building-automation ecosystem; flexible but ambiguous,Academic Free License 3.0,https://project-haystack.org/,Ingest Haystack and normalize to JCX with tag/profile validation,Tag ambiguity and vendor profiles can impair automated reasoning,2026-08-30
REC,RealEstateCore,Property/building ontology,Public repository; REC v5 branch updated 2026,Modular ontology for property ownership inhabitants technical systems sensors and events,Open community ontology; not ISO or universal contract,BSD-3-Clause repository license,https://github.com/RealEstateCore/rec,Use as candidate crosswalk between property and operations concepts,Pin version and test implementations; avoid mixing REC versions,2026-08-30
DTDL,Digital Twins Definition Language,Digital twin runtime,DTDL v2/v3 supported by Azure Digital Twins,JSON-LD model language for twin interfaces properties components and relations,Product/runtime mature; cloud-specific semantics,Specification/runtime documentation; platform terms apply,https://learn.microsoft.com/en-us/azure/digital-twins/concepts-models,Use as a projection with neutral JSON-LD/JSON Schema/RDF export,Cloud/runtime lock-in and version migration; not neutral property system,2026-08-30
BACNET,BACnet building automation protocol,Building controls,ANSI/ASHRAE 135-2024; ISO/EN ISO 16484-5,Vendor-independent building automation communication for HVAC lighting access elevators security and fire,Very high; widely implemented; BTL certification,International/open protocol standard; product certification separate,https://bacnet.org/about-bacnet-standard/,Require BACnet/IP or BACnet/SC gateway and BTL evidence where practical,Protocol interoperability does not guarantee semantic point mapping or cyber safety,2026-08-30
MODBUS,Modbus,Building/industrial controls,Application Protocol V1.1b3; Modbus Security,Simple device/register communication and TLS/X509 security option,Very high legacy footprint; simple semantics,Published specification with organization license terms,https://www.modbus.org/modbus-specifications,Use segmented read-only gateway and persist register maps scaling units and quality,No native semantics; legacy serial and unsafe internet exposure are risks,2026-08-30
MATTER,Matter,Residential IoT,Specification versions evolve; 1.3 source cited,IPv6 application-layer interoperability for smart-home devices,Emerging consumer ecosystem; not commercial BMS replacement,Alliance specification with member reproduction terms,https://csa-iot.org/wp-content/uploads/2024/05/matter-1-3-core-specification.pdf,Use selectively for resident devices with commissioning and offboarding,Version/device-category support and consumer lifecycle; not HVAC/fire/elevator standard,2026-08-30
OGC-FEATURES,OGC API Features,Geospatial API,Part 1 1.0/1.0.1 corrigendum plus parts,Feature-level REST/OpenAPI access to parcels buildings roads permits and amenities,Approved open standard; modern API family,Open standard,https://www.ogc.org/standards/ogcapi-features/,Use for spatial search/query and partner exchange preserving CRS,Core read scope and implementation parts differ; test CRS/filter/write behavior,2026-08-30
OGC-SENSORTHINGS,OGC SensorThings API,IoT/geospatial API,Part 1 v1.1; Tasking Part 2 v1.0,Unified geospatial Web API for sensor observations metadata and tasking,Approved open standard; specialized ecosystem,Open standard,https://www.ogc.org/standards/sensorthings/,Expose interoperable sensor observations when useful and preserve quality/time,High-volume time series and control authorization need separate architecture,2026-08-30
OGC-CITYGML,OGC CityGML/CityJSON,3D city/GIS,CityGML 3.0; CityJSON related encoding,3D city-model exchange for planning BIM navigation disaster energy and urban twins,Approved standard; adoption varies by city/data maturity,Open standard,https://www.ogc.org/standards/citygml/,Link district context and parcels to IFC building/project IDs,3D geometry complexity and version/encoding conversion can lose semantics,2026-08-30
W3C-PROV,W3C PROV-O/PROV-DM,Provenance,Recommendations,Interoperable model for entities activities agents and derivation of data,Stable Web standard; implementation is application-dependent,Open W3C Recommendation,https://www.w3.org/TR/prov-overview/,Attach source document hash extraction method reviewer and supersession to every claim/measure,Provenance does not prove truth; capture evidence and validation separately,2026-08-30
GHG-PROTOCOL,GHG Protocol Corporate and Scope 3,Carbon accounting,Corporate and Scope 3 standards,Boundaries and categories for corporate/value-chain GHG inventories,Very high global reporting adoption; methodology evolves,Open standards/guidance,https://ghgprotocol.org/corporate-value-chain-scope-3-standard,Store activity data factor source period boundary estimation and assurance,Scope boundary choices can double count; not a property data model,2026-08-30
RICS-WLCA,RICS Whole Life Carbon Assessment,Carbon/LCA,2nd edition effective 2024-07-01,Consistent embodied operational and user carbon assessment and deviation reporting,Professional standard; strong quantity-surveyor/ecosystem use,Professional standard; document license applies,https://www.rics.org/profession-standards/rics-standards-and-guidance/sector-standards/construction-standards/whole-life-carbon-assessment,Link BIM quantities EPDs procurement operations maintenance and end-of-life,Area basis boundaries factors and deviations must be aligned before comparing,2026-08-30
CRREM,CRREM Pathways and Risk Assessment,Climate transition risk,2026 Library v2.05 and June 2026 methodology,Country/property pathways for energy/carbon intensity and misalignment year,Strong investor/ESG use; 44+ countries; methodology under review,Open access data with licensing for commercial redistribution,https://crrem.org/learn/,Version pathway factors occupancy area and assumptions in every result,Pathways update; primarily operational/in-use and not embodied carbon,2026-08-30
GRESB,GRESB Real Estate Assessment,Investor ESG benchmark,2026 Standard; future roadmap consultation,Investor-driven benchmark for management performance development and sustainability evidence,High investor adoption; annual self-reporting and validation; methodology changes,Assessment participation/licensing ecosystem,https://www.gresb.com/real-estate-assessment/,Store raw evidence and project GRESB as reporting projection,Score is not canonical data or proof of technical performance; weights evolve,2026-08-30
WIRED-SMARTSCORE,WiredScore/SmartScore,Digital connectivity/smart building certification,Current schemes require verification,External certification of digital connectivity and smart-building capability,Market certification ecosystem; criteria can change,Proprietary certification schemes,https://wiredscore.com/,Store certificate scheme version scope date evidence and expiry,"Certification not network topology, data quality or cyber assurance",2026-08-30
ISO-27001,ISO/IEC 27001 information security,Security/privacy,2022 current edition,Confidentiality integrity availability risk management and ISMS controls,Very high global certification/assurance maturity,International standard; full text/certification licensed,https://www.iso.org/standard/27001.html,Use for corporate/CDE/cloud supplier controls and audit evidence,Certification does not guarantee OT safety or correct implementation,2026-08-30
NIST-CSF,NIST Cybersecurity Framework,Cyber risk,CSF 2.0,Govern Identify Protect Detect Respond Recover governance and risk profiles,High practical adoption; voluntary and adaptable,Open government framework,https://www.nist.gov/cyberframework,Create current/target profiles for IT CDE BMS/OT and vendors,Framework is outcome-oriented; map controls to actual implementation,2026-08-30
IEC-62443,IEC 62443 industrial automation security,OT security,Current series; verify part/edition for procurement,OT zones systems components and supplier security requirements,Established industrial/OT framework; part-specific,Standards text/certification licensed,https://www.isa.org/standards-and-publications/isa-standards/isa-62443-series-of-standards,Use for BMS/PLC gateway segmentation and vendor responsibilities,Choose exact parts and security levels; do not claim compliance generically,2026-08-30
ISO-42001,ISO/IEC 42001 AI management system,AI governance,2023 published; ISO 42005:2025 impact assessment adjacent,Organization-wide AI policies risk transparency accountability and continual improvement,First international AI management-system standard; growing ecosystem,International standard; full text/certification licensed,https://www.iso.org/standard/42001,Create AI inventory risk classification impact assessment logs and human oversight,Management certification is not model accuracy or fairness proof,2026-08-30
NIST-AI-RMF,NIST AI Risk Management Framework,AI governance,AI RMF 1.0 (2023); revision/profile work ongoing,Voluntary trustworthy AI risk management across design/deploy/use/evaluation,High practical ecosystem; voluntary and living,Open government framework,https://www.nist.gov/itl/ai-risk-management-framework,Use for tenant screening maintenance analytics worker/camera and GenAI release gates,Current framework revision means pin version and record mappings,2026-08-30
EU-AI-ACT,EU Artificial Intelligence Act,AI regulation,Regulation (EU) 2024/1689 in force,Risk-based legal obligations for AI placed on/used in EU market,Binding EU law; extraterritorial relevance depends on service/data,Public law text,https://eur-lex.europa.eu/eli/reg/2024/1689/oj?locale=en,Use as a high-bar reference for EU customers/data and sensitive decisions,Legal applicability is fact-specific; obtain counsel and track implementing rules,2026-08-30
ISO-14001,ISO 14001 environmental management,Environmental management,2026 fourth edition,Environmental management system and continual improvement,Very high global management-system maturity,International standard; full text/certification licensed,https://www.iso.org/standard/92300.html,Connect environmental objectives evidence corrective actions and operational data,EMS certification is not a carbon calculation or building-performance guarantee,2026-08-30
BD-PDPO,Bangladesh Personal Data Protection Ordinance,Privacy/legal,2025 ordinance; verify amendments/current text,National privacy/data-protection obligations and rights,Current Bangladesh legal watchlist; counsel required,Public official law/ordinance,https://ncsa.gov.bd/site/page/50cf7d8c-954c-413f-8f23-eee744a1cd8d/Acts-%26-Rules,Minimize identity data separate marketing/tenant/visitor/CCTV and define retention/access,Legal status and implementing rules can change; do not treat summary as legal advice,2026-08-30
BD-NDG,Bangladesh National Data Governance Ordinance,Data governance/legal,2025 ordinance in official laws portal,National data governance interoperability lifecycle transparency and accountability,Current Bangladesh legal watchlist; counsel required,Public official law/ordinance,https://bdlaws.minlaw.gov.bd/act-print-1573.html,Use data inventory provenance classification stewardship and interoperable exports,Confirm applicability/authority and amendments before implementation,2026-08-30
BD-BNDA,Bangladesh National Digital Architecture standards,Public-sector data/API,Govt framework v2.0 published 2022,Guidance for data architecture Unicode DBMS GIS GML catalogue and KML,Relevant government interoperability baseline; not a property-specific schema,Public government standard,https://nda.bcc.gov.bd/standards/standard-single.jsp?standard=Mw%3D%3D,Support Unicode Bangla/English OGC GIS and practical DB/API exports,Public-sector requirements may not map directly to private developer; verify latest edition,2026-08-30
