name,canonical_url,status,status_as_of,hq_country,operating_regions,founding_year,cohort_or_ecosystem,primary_lifecycle,secondary_lifecycle,category,entity_type,business_model,maturity,evidence_grade,jcx_relevance,relevance_tier,headline_claim,claim_type,caveats,source_urls,last_verified
Autodesk Construction Cloud / Forma,https://construction.autodesk.com/,Active,2026-08-30,United States,Global,Unknown,Enterprise,Design,Construction,BIM/CDE,Company,Enterprise SaaS,Enterprise,A,High,1,Cloud suite connects design coordination documents field cost and handover,Product description,Implementation complexity and ERP/BIM overlap,https://construction.autodesk.com/|https://construction.autodesk.com/resources/customer-success-stories/boustead-projects-cuts-rework-by-20-and-saves-months-on-handovers-with-autodesk-forma-2/,2026-08-30
Procore,https://www.procore.com/,Active,2026-08-30,United States,Global,2002,Fifth Wall,Construction,Operations,Project controls,Company,Enterprise SaaS,Enterprise,A,High,1,Cloud project platform for owners and contractors,Product description,Contractor adoption local accounting and integration,https://www.procore.com/|https://www.fifthwall.com/portfolio,2026-08-30
PlanRadar,https://www.planradar.com/,Active,2026-08-30,Austria,Europe/global,2013,Independent,Construction,Handover,Inspections defects FM,Company,Per-user SaaS,Scaleup,A,High,1,Mobile/offline issue tracking forms plans and handover,Product description,Local forms subcontractor access and export,https://www.planradar.com/,2026-08-30
OpenSpace,https://www.openspace.ai/,Active,2026-08-30,United States,Global,2017,Taronga RealTechX,Construction,Design,Reality capture progress,Company,Managed capture plus SaaS,Scaleup,A,High,1,360 capture and AI mapping create dated site evidence,Customer/vendor case,Case outcomes are context-specific; privacy and BIM readiness,https://www.openspace.ai/|https://get.openspace.ai/rs/283-OVQ-169/images/OpenSpace-Case-Study-Lendlease-en.pdf,2026-08-30
Buildots,https://buildots.com/,Active,2026-08-30,Israel,Global,2018,Independent,Construction,Design,AI progress verification,Company,Enterprise SaaS,Scaleup,B,High,1,AI compares site imagery with BIM/schedule to flag variance,Customer/vendor case,NCC result not a JCX forecast; needs reliable BIM/schedule,https://buildots.com/|https://buildots.com/case-studies/ncc-partners-with-buildots/,2026-08-30
Matterport,https://matterport.com/,Acquired/subsidiary,2026-08-30,United States,Global,2011,CoStar,Sales,Design,3D capture digital twin,Subsidiary,Hardware plus SaaS,Public,A,High,1,Spatial capture and 3D tours for property and AEC,Product description,CoStar roadmap/export and parent dependency,https://matterport.com/|https://www.costargroup.com/,2026-08-30
TestFit,https://www.testfit.io/,Active,2026-08-30,United States,North America/global,2017,Independent,Land,Design,Generative feasibility,Company,Subscription SaaS,Scaleup,A,High,1,Parametric site planning for development options,Product description,Local zoning FAR costs and demand data required,https://www.testfit.io/,2026-08-30
LandTech,https://land.tech/,Active,2026-08-30,United Kingdom,UK/global,Unknown,Pi Labs,Land,Data,Land sourcing planning,Company,B2B SaaS,Scaleup,A,High,1,Land/development pipeline planning intelligence and appraisal,Portfolio/product description,UK-centric data and Bangladesh title gaps,https://land.tech/|https://pilabs.vc/portfolio?sort=date_desc,2026-08-30
Cherre,https://cherre.com/,Active,2026-08-30,United States,Global,2016,Independent,Data,Operations,Property data graph,Company,Enterprise SaaS/API,Scaleup,A,High,1,Connects ownership market and asset data into a property graph,Product description,Local data rights entity resolution and integration,https://cherre.com/,2026-08-30
HouseCanary,https://www.housecanary.com/,Active,2026-08-30,United States,United States,2013,Independent,Land,Finance,Valuation analytics,Company,SaaS/API,Scaleup,A,Medium,1,AVM forecasts and portfolio analytics for property finance,Product description,Comparable sales and regulatory coverage not local,https://www.housecanary.com/,2026-08-30
