table,field,data_type,nullable,allowed_or_format,source_of_truth,legacy_source,public_exposure,validation_rule
entity,entity_id,string,no,stable prefixed ID,identity_registry,record_id,public,immutable after creation
entity,record_type,enum,no,organization|product_offering|program_ecosystem|project,reviewed identity decision,absent,public,exactly one enum
entity,display_name,string,no,public display label,reviewed identity decision,name,public,non-empty
entity,canonical_name,string,no,reviewed canonical name,reviewed identity decision,canonical_name,public,non-empty and not identity key
entity,description_public,string,yes,plain text,editorial claim,headline_claim|tech_strategy,public,no raw sentinel values
entity,status_current,enum,no,active|pilot|stealth_unclear|acquired|merged|pivoted|paused|inactive|dissolved|unknown,latest accepted status_event,status,public,enum and event-backed
entity,status_as_of,date,yes,YYYY-MM-DD,latest accepted status_event,status_as_of,public,never copy last_verified without evidence
entity,status_confidence,enum,yes,high|medium|low|unknown,reviewed status evidence,absent,public,required when status is public
entity,founded_year,integer,yes,1800..current year,accepted identity claim,founding_year,public,integer or null
entity,founded_year_precision,enum,no,year|range|circa|unknown,accepted identity claim,founding_year,public,required with founded_year
entity,headquarters_country,string,yes,ISO-3166-1 alpha-2,accepted identity claim,hq_country,public,valid ISO code
entity,last_reviewed_at,date,yes,YYYY-MM-DD,review event,last_verified,public,review date not status date
entity,publication_state,enum,no,draft|reviewed|public|retired,editorial workflow,absent,internal,only public rows in website views
organization,organization_subtype,enum,yes,startup|public_company|developer_operator|contractor|service_provider|investor|accelerator|government|association|standards_body,reviewed type,entity_type,public,not a record type
organization,legal_name,string,yes,legal name,registry or authoritative source,entity_type,restricted,do not infer from display name
organization,ownership_status,enum,yes,private|public|subsidiary|acquired|unknown,reviewed identity/status,entity_type,public,source-backed
organization,public_domain,string,yes,normalized HTTP(S) URL,verified organization source,canonical_url,public,no directory URLs
product_offering,owner_organization_id,string,no,entity_id,product relationship,entity_type|name,public,FK to organization
product_offering,product_type,enum,yes,software|hardware|marketplace|service|platform|data|financial_product|other,reviewed product taxonomy,category|entity_type,public,enum
product_offering,proposition_public,string,yes,plain text,product claim,headline_claim|tech_strategy,public,claim-linked
product_offering,deployment_model,enum,yes,saas|api|on_premise|managed_service|hardware_plus_software|marketplace|hybrid|unknown,based on product evidence,business_model,public,do not infer from maturity
product_offering,commercial_model,string,yes,controlled tags plus note,product claim,business_model,public,child taxonomy for multiple models
product_offering,ai_mode,enum,yes,none|feature|workflow|decision_support|autonomous|unknown,product documentation,tech_strategy,public,claim-linked
product_offering,integration_posture,enum,yes,open_api|exportable|standard_based|proprietary|unknown,product documentation,tech_strategy,public,claim-linked
product_offering,data_sensitivity,enum,yes,public|business|personal|financial|regulated|unknown,reviewed diligence,absent,restricted,never expose security detail publicly
product_offering,mrl,integer,yes,0..5,reviewed product readiness evidence,maturity,public,not inferred from funding or company scale
product_offering,mrl_rationale_public,string,yes,plain text,reviewed product evidence,maturity|caveats,public,required for MRL >=3
entity_alias,alias_id,string,no,stable ID,identity registry,absent,internal,immutable
entity_alias,entity_id,string,no,entity_id,identity registry,name,public,FK to entity
entity_alias,alias_text,string,no,observed spelling,staging observation,name|canonical_name,public only if approved,retain source
entity_alias,alias_type,enum,no,trading_name|legal_name|former_name|brand|product_alias|source_spelling|collision_candidate,reviewed identity decision,name,internal,enum
entity_identifier,identifier_type,enum,no,domain|registration_id|exchange_ticker|yc_company_id|discovery_profile|other,source-backed identifier,canonical_url|source_urls,public only when safe,normalized value required
entity_identifier,normalized_value,string,no,normalized identifier,source normalization,canonical_url|source_urls,public for domain,unique with type where applicable
entity_market,market_type,enum,no,headquarters|operating|served|source_geography,reviewed geography,hq_country|operating_regions,public,one country/region per row
entity_market,country_code,string,yes,ISO-3166-1 alpha-2,accepted geography,hq_country|operating_regions,public,do not over-infer Global
entity_taxonomy,vocabulary,enum,no,lifecycle|technology_layer|category|asset_type|buyer_role|business_model,taxonomy registry,primary_lifecycle|secondary_lifecycle|category,public,valid vocabulary/code
entity_taxonomy,term_code,string,no,versioned code,term registry,primary_lifecycle|secondary_lifecycle,public,FK to taxonomy_term
