case_id,organization,solution_vendor,geography,lifecycle,category,baseline_problem,intervention,measured_outcome,period_sample_denominator,source_type,evidence_grade,causal_caveat,transferability_bangladesh_jcx,source_url,verification_date
QOC-001,Motif Architects,TestFit,United States,L1 Land/site feasibility,Generative site planning,Manual feasibility work constrained a two-person architecture firm and risked exceeding the fee,Used TestFit to generate and compare site/programming options with live financial data,160 hours saved per feasibility study; study completed in 3 weeks; stayed within target fee,One Logan Street feasibility study; exact labor baseline not disclosed.,Vendor customer story; customer quote,B3,Self-reported estimate; no independent time study or control.,High for JCX early site screening if local parcel/zoning/cost data are available; validate with pilot.,https://www.testfit.io/customer-stories/motif-architects,2026-08-30
QOC-002,Ware Malcomb,TestFit,United States,L1 Land/site feasibility,Generative site planning,Multifamily site plans took at least 3 days and consumed non-billable marketing labor,Automated site planning and 2D/3D iteration with TestFit,"Plan reduced from 3 days to half a day; more than $200,000 saved in non-billable hours in first year",First year; denominator is company estimate and number of studies not disclosed.,Vendor customer story; customer quote,B3,Attribution and fee calculation are not independently audited; selection effects possible.,High for JCX land screening and concept studies; use time logs and separate feasibility from design authority.,https://www.testfit.io/customer-stories/ware-malcomb,2026-08-30
QOC-003,TruSteel Buildings,TestFit,United States,L1 Land/site feasibility,Generative site planning,"Manual site evaluation using maps, GIS and calls took up to one week per study",Used TestFit for self-storage site evaluation and preliminary layouts,Turnaround fell from one week to 2 hours (reported 20x faster); annual jobs increased from 100 to 400; 280+ studies completed,Since adoption; study count is cumulative and jobs are annual; causal denominator not published.,Vendor customer story; customer quote,B3,Company attributes output growth to tool but demand/staffing may also contribute.,Medium-high for JCX repeatable screening; local regulations and cadastral coverage must be proven.,https://www.testfit.io/customer-stories/trusteel-buildings,2026-08-30
QOC-004,Cascadia Partners,TestFit,United States,L1 Land/site feasibility,Generative site planning,"Affordable housing/site optimization,Spreadsheet and SketchUp modeling made 10 prototype analyses costly and less precise",Used generative building/site models with real-time quantity and financial data,"Feasible housing price reduced 28% while fitting 2x more units per acre; prior modeling cost was 20 hours/$6,000 for 10 prototypes","City of Lebanon, Oregon analysis; outcome is modeled feasibility, not delivered project.",Vendor customer story; customer quote,B3,Model output is not a realized development result; assumptions and zoning context are local.,"Medium for JCX scenario modeling; must adapt costs, FAR, setbacks, parking, flood and approvals.",https://www.testfit.io/customer-stories/cascadia-partners,2026-08-30
QOC-005,Norconsult,Autodesk Platform Services/Construction Cloud,Norway,L2 Feasibility/L4 Design BIM,Digital engineering/CDE,International bridge design relied on traditional drawings and fragmented expert workflows,"Connected five Autodesk APIs in a central environment for model visualization, project management and automation",99.5% reduction in traditional drawings; design-to-preconstruction under 2 years; 3% reduction in total hours; 60 million data points connected,Sotra Bridge; experts in 45 countries/3 continents; denominator is project process not a control group.,Vendor customer story; customer project,B3,Results blend digital process and project complexity; hours outcome lacks pre-period comparison.,High strategic relevance: a common data environment and APIs can connect JCX design/construction/operations.,https://www.autodesk.com/customer-stories/aec-autodesk-platform-services-2024-story,2026-08-30
QOC-006,Consti (Granlund project),Autodesk Construction Cloud,Finland,L4 Design/L5 Construction,BIM coordination and rework,Hospital teams expected about 200 hours of annual site rework from design changes and paper redlines,Used a shared model/CDE and digital redlines in Autodesk Construction Cloud,Estimated rework fell to 10-20 hours from usual 200 hours; redline time cut in half,"One hospital build; one-year expected comparison, no independent audit.",Vendor customer story; customer quote,B3,Estimate is retrospective and not externally verified; avoided rework may not be fully observed.,"High for JCX: shared drawings, approval history and issue logs are practical first digitization wins.",https://www.autodesk.com/customer-stories/granlund-autodesk-construction-cloud-story,2026-08-30
QOC-007,Boustead Projects,Autodesk Forma/Construction Cloud,Singapore,L4 Design/L5 Construction,4D BIM/reality capture,"Complex semiconductor project faced clashes, rework, slow approvals and handover discontinuity","Combined 4D BIM, LiDAR, photogrammetry, cloud RFIs/issues and Bridge data continuity",60% fewer clashes; 20% less rework; 30% efficiency improvement; some approvals from 5 days to 1 day or hours; handovers saved months,Semiconductor facility project; exact period and denominator not disclosed.,Vendor customer story; customer quote,B3,Marketing-reported project estimate; outcomes may overlap and are not independently audited.,"High for JCX flagship developments, but sensor/model standards and subcontractor adoption are prerequisites.",https://construction.autodesk.com/resources/customer-success-stories/boustead-projects-cuts-rework-by-20-and-saves-months-on-handovers-with-autodesk-forma-2/,2026-08-30
QOC-008,Obayashi Singapore,Autodesk Construction Cloud,Singapore,L4 Design/L5 Construction,Cloud collaboration and BIM,Teams spent excessive time transferring models and reviewing floors through disconnected workflows,Adopted Autodesk Construction Cloud as CDE on Keppel South Central and subsequent projects,432 work hours saved per week; 32.5% productivity gain; model transfer time cut 32.5%; floor review time cut by half,First fully used project began 2021; weekly estimate; 40-hour workweek equivalence stated by source.,Vendor customer story; customer management report,B3,Company-reported estimate; productivity definition and allocation of 432 hours are not independently validated.,High for JCX if role-based workflows and reliable internet/mobile access are designed.,https://construction.autodesk.com/resources/customer-success-stories/digitalisation-delivers-better-client-outcomes-for-obayashi-singapore/,2026-08-30
QOC-009,Arcadis,Autodesk BIM Collaborate Pro,United States,L4 Design/L5 Construction,Cloud BIM coordination,Design coordination used email/download cycles and threatened a tight bid deadline,"Used BIM Collaborate Pro, shared model and 360-degree site model/AR verification","More than 1,000 design hours saved; file-transfer lag reduced 80%; bid deadline met",Collins Park project; project-level result; period not disclosed.,Vendor customer story; customer quote,B3,Customer estimate and no control group; deadline and hours may include workflow changes beyond software.,High for JCX multi-party projects where consultant/contractor changes need one audit trail.,https://construction.autodesk.com/resources/customer-success-stories/arcadis-strengthening-water-system-resilience-with-bim-and-cloud-collaboration/,2026-08-30
QOC-010,IMC Construction,Autodesk Assemble/Construction Cloud,United States,L2 Feasibility/L4 Design,Quantity takeoff/reporting,"Laborious quantity takeoff and variance reporting,Teams compared drawing versions manually and exported Revit data into spreadsheets",Implemented model-based quantity takeoff and cloud construction data management,40% reduction in quantity takeoff time; 70% reduction in variance-report time; 40% reduction in trending-report time,Company process comparison; sample/project count not disclosed.,Vendor customer story; customer quote,B3,No independent audit or absolute hours; results may reflect process standardization as well as software.,"High for JCX BOQ, tender comparison and variation-control workflows; test with one project.",https://construction.autodesk.com/resources/general-contractors-customer-stories/how-imc-construction-reduced-quantity-takeoff-time-by-40-percent/,2026-08-30
