entity_id,display_name,aliases_json,record_type,record_type_basis,canonical_url,canonical_url_status,discovery_profile_urls_json,status_current,operating_status_legacy,status_conflict,status_evidence_date,status_observed_at,status_date_note,last_verified,headquarters_country,headquarters_country_values_legacy_json,headquarters_country_conflict,operating_regions_json,founding_year,founding_year_values_json,founding_year_note,business_models_json,ecosystem_memberships_json,lifecycle_codes_json,lifecycle_mapping_methods_json,lifecycle_labels_legacy_json,lifecycle_unmapped_labels_json,category_labels_json,maturity_band_provisional,maturity_labels_legacy_json,mrl,mrl_note,reviewed_relevance_tier,relevance_tier_values_json,relevance_tier_conflict,jcx_relevance_notes_json,legacy_evidence_grades_json,source_quality_grades_provisional_json,source_count,source_urls_json,source_datasets_json,merged_record_count,publication_readiness,review_flags_json
org-31ventures-1867c79,31VENTURES,[],program_ecosystem,reviewed name or entity-type rule,https://www.31ventures.jp/en/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,Japan,"[""Japan""]",false,"[""Japan global""]",,[],Not verified in the current source layer.,[],[],"[""L1"",""L6"",""L7"",""L8"",""L10""]","[""documented_legacy_shorthand""]","[""L/S/H/O/E""]",[],[],not_assessed,[],,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""Strong developer venture-client model for JCX""]","[""A""]","[""S2""]",4,"[""https://31ventures.jp/en"",""https://31ventures.jp/en/about"",""https://31ventures.jp/en/case"",""https://31ventures.jp/en/fund""]","[""global_real_estate_pioneers_agent.csv""]",1,discovery_program,"[""category_not_assessed"",""maturity_not_assessed"",""status_evidence_date_missing"",""claim_level_evidence_review_required""]"
org-aldar-properties-4218e8b,Aldar Properties,[],organization,default operating/legal identity,https://www.aldar.com/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,United Arab Emirates,"[""United Arab Emirates""]",false,"[""UAE United Kingdom""]",,[],Not verified in the current source layer.,[],[],"[""L1"",""L3"",""L6"",""L7"",""L8"",""L10""]","[""documented_legacy_shorthand""]","[""L/S/F/H/O/E""]",[],[],not_assessed,[],,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""Closest Gulf benchmark for digital sales and pilot-to-scale""]","[""A""]","[""S2""]",3,"[""https://aldar.com/"",""https://aldar.com/aldar-report2024/documents/aldar-annual-report-2024_compressed-1.pdf"",""https://cdn.aldar.com/en/news-and-media/aldar-fy-2024-financial-results""]","[""global_real_estate_pioneers_agent.csv""]",1,profile_requires_editorial_review,"[""category_not_assessed"",""maturity_not_assessed"",""status_evidence_date_missing"",""claim_level_evidence_review_required""]"
org-alice-technologies-3d2a5de,ALICE Technologies,[],organization,default operating/legal identity,https://www.alicetechnologies.com/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,United States,"[""United States""]",false,"[""North America Europe Australia and global""]",,[],Not verified in the current source layer.,"[""enterprise SaaS subscription and implementation""]","[""Brick & Mortar Ventures"",""JLL Spark""]","[""L2"",""L4"",""L5"",""L9""]","[""explicit_code"",""keyword_inference""]","[""L5 Construction delivery"",""L2 Feasibility; L4 Design and preconstruction; L9 Portfolio management""]",[],"[""AI construction scheduling simulation and optioneering""]",scaled_or_enterprise_signal,"[""scaleup""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""A distinct benchmark for scenario-based project planning and schedule optimization before and during delivery""]","[""A""]","[""S2"",""S4""]",4,"[""https://alicetechnologies.com/"",""https://alicetechnologies.com/construction-optioneering"",""https://brickmortar.vc/portfolio"",""https://spark.jllt.com/portfolio""]","[""final_residual_additions.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-altus-group-argus-intelligence-argus-enterprise-3e9e2c7,Altus Group ARGUS Intelligence / ARGUS Enterprise,[],product_offering,reviewed product-suite exception,https://www.altusgroup.com/solutions/argus-enterprise/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,Canada,"[""Canada""]",false,"[""Global""]",,"[""unknown""]",Not verified in the current source layer.,"[""enterprise software licensing and cloud services""]","[""Independent""]","[""L2"",""L3"",""L9""]","[""explicit_code"",""keyword_inference""]","[""L2 Feasibility"",""L3 Capital/finance/L9 Portfolio""]",[],"[""commercial real-estate valuation cash-flow forecasting and portfolio intelligence""]",scaled_or_enterprise_signal,"[""enterprise""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""High""]","[""A""]","[""S2""]",3,"[""https://altusgroup.com/argus"",""https://altusgroup.com/solutions/argus-enterprise"",""https://assets.ctfassets.net/8jgyidtgyr4v/5JvyDH3YNv4OXX5GbjMkvl/2a9d210f709762517c3e55477457ac3f/Altus_Group_Limited_MDA_2025Q4.pdf""]","[""enterprise_platform_additions.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-archistar-2a1bcac,Archistar,[],organization,default operating/legal identity,https://www.archistar.ai/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,Australia,"[""Australia""]",false,"[""Australia-US-Canada-UK-UAE-Saudi-NZ""]",,"[""Unknown""]",Not verified in the current source layer.,"[""subscription-data-pilots""]","[""NSW-AI-Planning-panel-government-grant""]","[""L1"",""L2"",""L4""]","[""keyword_inference""]","[""site-selection-feasibility"",""3D-generative-design-applications""]",[],"[""AI-feasibility-planning""]",scaled_or_enterprise_signal,"[""scale""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""RAJUK-CDA-DAP-feasibility""]","[""A""]","[""S1"",""S2""]",3,"[""https://archistar.ai/"",""https://archistar.ai/for-property-developers-legacy"",""https://planning.nsw.gov.au/news/nsw-government-bringing-planning-21st-century""]","[""regional_companies_agent.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-auar-c47f01d,AUAR,[],organization,default operating/legal identity,https://auar.io/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,United Kingdom,"[""United Kingdom""]",false,"[""Europe""]",,[],Not verified in the current source layer.,"[""hardware plus deployment services""]","[""Shadow Ventures""]","[""L4"",""L5""]","[""explicit_code"",""keyword_inference""]","[""L5 Construction"",""L4 Design""]",[],"[""automated architecture and modular construction robotics""]",not_assessed,"[""seed""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""High""]","[""A""]","[""S2""]",3,"[""https://auar.io/"",""https://auar.io/how-it-works"",""https://shadow.vc/investments/auar""]","[""startup_core_additions.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-aurora-solar-62db3f0,Aurora Solar,[],organization,default operating/legal identity,https://www.aurorasolar.com/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,United States,"[""United States""]",false,"[""Global""]",2013,"[""2013""]",,"[""SaaS""]","[""Fifth Wall""]","[""L6"",""L10""]","[""keyword_inference""]","[""Climate"",""Sales""]",[],"[""Solar design sales finance""]",scaled_or_enterprise_signal,"[""Scaleup""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""Medium""]","[""A""]","[""S2"",""S4""]",2,"[""https://aurorasolar.com/"",""https://fifthwall.com/portfolio""]","[""proptech_startups_agent.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-aurum-proptech-3c687dc,Aurum-PropTech,[],organization,default operating/legal identity,https://www.aurumproptech.in/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,India,"[""India""]",false,"[""India""]",,"[""Unknown""]",Not verified in the current source layer.,"[""portfolio-SaaS-transactions""]","[""NSE-BSE-Aurum-ecosystem""]","[""L3"",""L12""]","[""keyword_inference""]","[""property-data-capital-platforms"",""rental-analytics-investment""]",[],"[""integrated-PropTech-holding""]",scaled_or_enterprise_signal,"[""scale""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""ecosystem-acquisition-benchmark""]","[""A""]","[""S2""]",2,"[""https://aurumproptech.in/"",""https://aurumproptech.in/about""]","[""regional_companies_agent.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
org-banner-37f93a0,Banner,[],organization,default operating/legal identity,,discovery_profile_only,"[""https://ycombinator.com/companies/banner""]",active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,United States,"[""United States""]",false,"[""United States""]",2019,"[""2019""]",,"[""SaaS""]","[""YC S2019""]","[""L8"",""L12""]","[""keyword_inference""]","[""Operations"",""Data""]",[],"[""Real-estate operating system""]",scaled_or_enterprise_signal,"[""Scaleup""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""High""]","[""B""]","[""S4""]",1,"[""https://ycombinator.com/companies/banner""]","[""proptech_startups_agent.csv""]",1,profile_requires_editorial_review,"[""canonical_url_unresolved"",""claim_level_evidence_review_required""]"
org-bentley-systems-ecbac87,Bentley Systems,[],organization,default operating/legal identity,https://www.bentley.com/en/products/itwin-platform/,resolved,[],active,active,false,,2026-08-30,Legacy status_as_of is preserved in assertions; it is not promoted because it usually represents the research date rather than a supported event date.,2026-08-30,United States,"[""United States""]",false,"[""Global""]",1984,"[""1984""]",,"[""enterprise software licensing and cloud services""]","[""Public""]","[""L4"",""L5"",""L8"",""L9""]","[""explicit_code"",""keyword_inference""]","[""L4 Design"",""L5 Construction/L8 Property operations/L9 Portfolio""]",[],"[""infrastructure digital twins and engineering data platform""]",scaled_or_enterprise_signal,"[""enterprise""]",,Not assigned from company scale/funding; requires product-and-geography evidence.,A,"[""A""]",false,"[""High""]","[""A""]","[""S2""]",2,"[""https://bentley.com/en/products/itwin-iot"",""https://bentley.com/en/products/itwin-platform""]","[""coverage_gap_additions.csv""]",1,qualified_profile_requires_claim_review,"[""claim_level_evidence_review_required""]"
