source_id,url,observed_urls,domain,inferred_source_class,source_quality_grade_provisional,quality_grade_status,used_by_record_ids,used_by_names,used_by_documents,source_datasets,last_verified,editorial_note
src-47ea9d9c2a,https://2150.vc/,https://www.2150.vc/,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,,,research/build_ecosystem_discovery_index.py,full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-0d6007cfdb,https://2150.vc/investments,https://www.2150.vc/investments,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,,,JCX_Global_PropTech_Intelligence_Atlas_2026-08-30.md|research/build_ecosystem_discovery_index.py|research/built_environment_ecosystem_discovery_index.md|research/final_coverage_assurance.md|research/startup_coverage_final_audit.md,full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-dfab51d01a,https://2150.vc/investments/1komma5,https://www.2150.vc/investments/1komma5,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-6f5ca49ea7,1KOMMA5,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-9261457c4a,https://2150.vc/investments/aeroseal,https://www.2150.vc/investments/aeroseal,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-716bec8b17,Aeroseal,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-3ad8b7d29d,https://2150.vc/investments/ampd-energy,https://www.2150.vc/investments/ampd-energy,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-3109ae56d1,Ampd Energy,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-8dffeef705,https://2150.vc/investments/atmoszero,https://www.2150.vc/investments/atmoszero,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-68782c64a4,AtmosZero,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-42e662271a,https://2150.vc/investments/biomason,https://www.2150.vc/investments/biomason,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-72915504dc|org-biomason-5aaaaad,Biomason,research/built_environment_ecosystem_discovery_index.csv|research/final_residual_additions.csv,built_environment_ecosystem_discovery_index.csv|final_residual_additions.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-a3d4e0792c,https://2150.vc/investments/blue-frontier,https://www.2150.vc/investments/blue-frontier,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-5958911b7a,Blue Frontier,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-0d7ac62ba8,https://2150.vc/investments/carboncure,https://www.2150.vc/investments/carboncure,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-ea2cf0c8e5,CarbonCure,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-1b1ad1f38a,https://2150.vc/investments/cocoon,https://www.2150.vc/investments/cocoon,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-77a677856d|org-cocoon-ff50211,Cocoon,research/built_environment_ecosystem_discovery_index.csv|research/startup_core_additions.csv|research/startup_coverage_additions.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv|startup_core_additions.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
src-34d7967a1f,https://2150.vc/investments/disperse,https://www.2150.vc/investments/disperse,2150.vc,company_or_product,S2,domain-level provisional; claim-level review required,eco-686d3f8b88,Disperse,research/built_environment_ecosystem_discovery_index.csv,built_environment_ecosystem_discovery_index.csv|full_corpus_source_inventory.csv,2026-08-30,"The URL is normalized for identity. Source class/quality are provisional; authority, scope and claim support require editorial review."
